科目	2015-12-31	科目	2015-12-31
货币资金	945,739,975.77	短期借款	8,000,000.00
交易性金融资产		交易性金融负债	
应收票据		应付票据	
应收账款	38,772,146.41	应付账款	191,524,938.54
预付款项	28,415,733.43	预收款项	652,369,778.20
其他应收款	11,619,503.47	应付职工薪酬	63,791,816.49
应收关联公司款		应交税费	833,797,372.43
应收利息		应付利息	479,413.09
应收股利		应付股利	
存货	2,466,342,278.85	其他应付款	128,243,079.68
其中:消耗性生物资产		应付关联公司款	
一年内到期的非流动资产		一年内到期的非流动负债	121,243,352.00
其他流动资产	174,382,120.00	其他流动负债	
流动资产合计	3,665,271,757.93	流动负债合计	1,999,449,750.43
可供出售金融资产	14,500,000.00	长期借款	144,840,006.83
持有至到期投资		应付债券	
长期应收款		长期应付款	
长期股权投资	34,526,177.41	专项应付款	
投资性房地产	237,260,788.82	预计负债	834,999.50
固定资产	85,929,516.37	递延所得税负债	23,985.24
在建工程		其他非流动负债	114,773,265.38
工程物资		非流动负债合计	279,544,882.00
固定资产清理		负债合计	2,278,994,632.43
生产性生物资产		实收资本(或股本)	595,979,092.00
油气资产		资本公积	119,951,533.93
无形资产	92,640,083.99	盈余公积	154,664,631.59
开发支出		减:库存股	
商誉		未分配利润	1,233,358,112.55
长期待摊费用	2,024,722.07	少数股东权益	862,087.06
递延所得税资产	240,335,370.51	外币报表折算价差	
其他非流动资产	7,275,069.00	非正常经营项目收益调整	
非流动资产合计	714,491,728.17	所有者权益(或股东权益)合计	2,100,768,853.67
资产总计	4,379,763,486.10	负债和所有者(或股东权益)合计	4,379,763,486.10
科目	2015年度	科目	2015年度
一、营业收入	1,077,418,500.93	二、营业利润	47,649,314.57
减:营业成本	648,572,894.10	加:补贴收入	
营业税金及附加	159,676,120.22	营业外收入	171,619,115.05
销售费用	41,941,165.94	减:营业外支出	2,876,737.49
管理费用	102,968,126.79	其中:非流动资产处置净损失	601,245.35
堪探费用		加:影响利润总额的其他科目	
财务费用	-7,514,689.31	三、利润总额	216,391,692.13
资产减值损失	91,863,939.71	减:所得税	59,571,725.42
加:公允价值变动净收益		加:影响净利润的其他科目	
投资收益	7,738,371.09	四、净利润	156,819,966.71
其中:对联营企业和合营企业的投资权益	1,637,238.00	归属于母公司所有者的净利润	156,819,966.71
影响营业利润的其他科目		少数股东损益	

