科目	2015-12-31	科目	2015-12-31
货币资金	403,446,457.57	短期借款	
交易性金融资产		交易性金融负债	
应收票据		应付票据	
应收账款	570,644.00	应付账款	8,509,324.67
预付款项	127,750.00	预收款项	4,141,194.09
其他应收款	13,946,432.54	应付职工薪酬	4,311,169.81
应收关联公司款		应交税费	9,136,463.85
应收利息		应付利息	
应收股利		应付股利	2,099,102.81
存货	33,954,651.44	其他应付款	41,403,599.17
其中:消耗性生物资产		应付关联公司款	
一年内到期的非流动资产		一年内到期的非流动负债	
其他流动资产		其他流动负债	
流动资产合计	452,045,935.55	流动负债合计	69,600,854.40
可供出售金融资产	4,626,629,502.22	长期借款	
持有至到期投资		应付债券	
长期应收款		长期应付款	
长期股权投资	54,229,844.05	专项应付款	
投资性房地产	141,394,580.31	预计负债	
固定资产	20,827,310.35	递延所得税负债	1,130,119,385.87
在建工程		其他非流动负债	
工程物资		非流动负债合计	1,130,119,385.87
固定资产清理		负债合计	1,199,720,240.27
生产性生物资产		实收资本(或股本)	457,784,742.00
油气资产		资本公积	5,879,774.57
无形资产	99,584,765.51	盈余公积	113,255,049.11
开发支出		减:库存股	
商誉		未分配利润	278,842,007.62
长期待摊费用		少数股东权益	-43,362,042.49
递延所得税资产		外币报表折算价差	
其他非流动资产		非正常经营项目收益调整	
非流动资产合计	4,942,666,002.44	所有者权益(或股东权益)合计	4,194,991,697.72
资产总计	5,394,711,937.99	负债和所有者(或股东权益)合计	5,394,711,937.99
科目	2015年度	科目	2015年度
一、营业收入	44,637,286.23	二、营业利润	53,939,459.07
减:营业成本	32,427,117.93	加:补贴收入	
营业税金及附加	1,048,632.86	营业外收入	1,248,615.01
销售费用		减:营业外支出	24,892.82
管理费用	39,071,422.21	其中:非流动资产处置净损失	6,469.61
堪探费用		加:影响利润总额的其他科目	
财务费用	-7,135,597.28	三、利润总额	55,163,181.26
资产减值损失	5,388,528.04	减:所得税	6,043,989.74
加:公允价值变动净收益		加:影响净利润的其他科目	
投资收益	80,102,276.60	四、净利润	49,119,191.52
其中:对联营企业和合营企业的投资权益		归属于母公司所有者的净利润	49,689,481.45
影响营业利润的其他科目		少数股东损益	-570,289.93

