科目	2015-12-31	科目	2015-12-31
货币资金	1,264,245,575.18	短期借款	
交易性金融资产	60,505,048.58	交易性金融负债	
应收票据		应付票据	
应收账款	714,347.37	应付账款	159,838,997.87
预付款项	10,386,585.68	预收款项	2,225,927,714.86
其他应收款	81,562,007.45	应付职工薪酬	38,979,203.67
应收关联公司款		应交税费	110,615,243.02
应收利息	496,906.67	应付利息	20,179,251.97
应收股利		应付股利	5,645,867.09
存货	6,635,464,623.47	其他应付款	1,263,044,370.32
其中:消耗性生物资产		应付关联公司款	
一年内到期的非流动资产		一年内到期的非流动负债	95,000,000.00
其他流动资产	266,703,234.29	其他流动负债	
流动资产合计	8,320,078,328.69	流动负债合计	3,919,230,648.80
可供出售金融资产	306,957,453.54	长期借款	853,272,722.22
持有至到期投资		应付债券	970,266,666.67
长期应收款		长期应付款	
长期股权投资	295,774,695.47	专项应付款	
投资性房地产	205,384,912.04	预计负债	
固定资产	97,889,897.20	递延所得税负债	46,175,110.03
在建工程		其他非流动负债	
工程物资		非流动负债合计	1,869,714,498.92
固定资产清理		负债合计	5,788,945,147.72
生产性生物资产		实收资本(或股本)	514,303,802.00
油气资产		资本公积	611,238,137.97
无形资产		盈余公积	211,337,536.13
开发支出		减:库存股	
商誉		未分配利润	1,675,369,926.40
长期待摊费用	730,842.50	少数股东权益	340,586,629.74
递延所得税资产	52,275,752.29	外币报表折算价差	
其他非流动资产		非正常经营项目收益调整	
非流动资产合计	959,013,553.04	所有者权益(或股东权益)合计	3,490,146,734.01
资产总计	9,279,091,881.73	负债和所有者(或股东权益)合计	9,279,091,881.73
科目	2015年度	科目	2015年度
一、营业收入	2,095,542,399.06	二、营业利润	284,003,526.66
减:营业成本	1,540,421,360.06	加:补贴收入	
营业税金及附加	186,763,378.39	营业外收入	113,783,910.59
销售费用	36,213,693.61	减:营业外支出	223,270.24
管理费用	32,776,291.66	其中:非流动资产处置净损失	1,107.11
堪探费用		加:影响利润总额的其他科目	
财务费用	35,010,966.94	三、利润总额	397,564,167.01
资产减值损失	470,281.66	减:所得税	103,528,260.62
加:公允价值变动净收益	-1,941,558.09	加:影响净利润的其他科目	
投资收益	22,058,658.01	四、净利润	294,035,906.39
其中:对联营企业和合营企业的投资权益	-19,448,960.18	归属于母公司所有者的净利润	274,637,474.52
影响营业利润的其他科目		少数股东损益	19,398,431.87

