科目	2015-12-31	科目	2015-12-31
货币资金	188,976,585.10	短期借款	55,000,000.00
交易性金融资产	29,540.00	交易性金融负债	
应收票据	6,032,300.75	应付票据	
应收账款	26,458,416.45	应付账款	32,832,424.94
预付款项	22,738,623.80	预收款项	100,644,329.97
其他应收款	65,321,537.57	应付职工薪酬	1,562,204.60
应收关联公司款		应交税费	16,992,178.52
应收利息		应付利息	285,723.74
应收股利	72,240.00	应付股利	564,034.40
存货	431,714,447.19	其他应付款	68,004,403.06
其中:消耗性生物资产		应付关联公司款	
一年内到期的非流动资产		一年内到期的非流动负债	105,000,000.00
其他流动资产	4,595,332.26	其他流动负债	
流动资产合计	745,939,023.12	流动负债合计	380,885,299.23
可供出售金融资产	67,887,200.00	长期借款	915,000.00
持有至到期投资		应付债券	
长期应收款		长期应付款	
长期股权投资	73,854,207.85	专项应付款	
投资性房地产	23,519,599.28	预计负债	
固定资产	192,451,238.74	递延所得税负债	3,121,590.37
在建工程	1,152,110.09	其他非流动负债	
工程物资		非流动负债合计	10,157,360.42
固定资产清理		负债合计	391,042,659.65
生产性生物资产		实收资本(或股本)	361,263,565.00
油气资产		资本公积	267,408,482.77
无形资产	30,254,075.30	盈余公积	36,249,488.57
开发支出	513,893.45	减:库存股	
商誉		未分配利润	44,603,060.59
长期待摊费用	434,040.25	少数股东权益	29,858,659.11
递延所得税资产	3,785,298.71	外币报表折算价差	
其他非流动资产		非正常经营项目收益调整	
非流动资产合计	393,851,663.67	所有者权益(或股东权益)合计	748,748,027.14
资产总计	1,139,790,686.79	负债和所有者(或股东权益)合计	1,139,790,686.79
科目	2015年度	科目	2015年度
一、营业收入	264,619,960.27	二、营业利润	2,262,144.64
减:营业成本	155,053,155.68	加:补贴收入	
营业税金及附加	14,528,263.85	营业外收入	25,164,108.48
销售费用	22,461,509.73	减:营业外支出	1,271,806.28
管理费用	55,290,003.89	其中:非流动资产处置净损失	1,147,898.31
堪探费用		加:影响利润总额的其他科目	
财务费用	12,841,320.84	三、利润总额	26,154,446.84
资产减值损失	3,739,946.26	减:所得税	8,676,013.43
加:公允价值变动净收益	19,020.00	加:影响净利润的其他科目	
投资收益	1,537,364.62	四、净利润	17,478,433.41
其中:对联营企业和合营企业的投资权益	-4,267,855.59	归属于母公司所有者的净利润	14,577,217.42
影响营业利润的其他科目		少数股东损益	2,901,215.99

