科目	2015-12-31	科目	2015-12-31
货币资金	19,588,434,763.85	短期借款	4,666,620,000.00
交易性金融资产		交易性金融负债	
应收票据		应付票据	
应收账款	295,865,619.58	应付账款	5,282,471,714.96
预付款项	146,210,485.17	预收款项	23,311,858,470.77
其他应收款	12,795,535,766.09	应付职工薪酬	162,144,211.91
应收关联公司款		应交税费	1,338,470,696.18
应收利息		应付利息	215,606,737.27
应收股利	531,207,228.79	应付股利	21,023,702.14
存货	95,673,624,435.86	其他应付款	20,970,473,913.50
其中:消耗性生物资产		应付关联公司款	
一年内到期的非流动资产	959,606.98	一年内到期的非流动负债	14,776,083,500.00
其他流动资产	2,099,916,860.65	其他流动负债	5,348,036,667.55
流动资产合计	131,131,754,766.97	流动负债合计	76,092,789,614.28
可供出售金融资产	754,786,115.60	长期借款	30,727,830,000.00
持有至到期投资		应付债券	9,333,252,994.00
长期应收款		长期应付款	
长期股权投资	3,779,057,809.94	专项应付款	
投资性房地产	1,892,715,400.20	预计负债	146,898.00
固定资产	816,696,012.36	递延所得税负债	53,179,466.63
在建工程	842,396.00	其他非流动负债	
工程物资		非流动负债合计	40,117,336,738.57
固定资产清理		负债合计	116,210,126,352.85
生产性生物资产		实收资本(或股本)	2,242,012,500.00
油气资产		资本公积	4,052,069,686.31
无形资产	11,833,677.28	盈余公积	1,486,137,127.32
开发支出		减:库存股	
商誉	9,181,088.60	未分配利润	8,184,368,612.91
长期待摊费用	84,891,986.06	少数股东权益	2,260,014,385.97
递延所得税资产	2,017,472,794.59	外币报表折算价差	
其他非流动资产	16,179,188.39	非正常经营项目收益调整	
非流动资产合计	9,383,656,469.02	所有者权益(或股东权益)合计	24,305,284,883.14
资产总计	140,515,411,235.99	负债和所有者(或股东权益)合计	140,515,411,235.99
科目	2015年度	科目	2015年度
一、营业收入	23,617,882,560.30	二、营业利润	3,873,495,310.65
减:营业成本	14,033,172,557.40	加:补贴收入	
营业税金及附加	3,161,704,403.80	营业外收入	50,035,692.47
销售费用	610,288,795.57	减:营业外支出	11,017,209.33
管理费用	652,648,921.24	其中:非流动资产处置净损失	729,426.55
堪探费用		加:影响利润总额的其他科目	
财务费用	784,348,557.33	三、利润总额	3,912,513,793.79
资产减值损失	636,919,620.80	减:所得税	1,358,257,198.11
加:公允价值变动净收益		加:影响净利润的其他科目	
投资收益	134,695,606.49	四、净利润	2,554,256,595.68
其中:对联营企业和合营企业的投资权益	64,194,320.95	归属于母公司所有者的净利润	2,083,492,751.19
影响营业利润的其他科目		少数股东损益	470,763,844.49

