科目	2015-12-31	科目	2015-12-31
货币资金	37,484,915,370.82	短期借款	3,100,899,970.00
交易性金融资产		交易性金融负债	
应收票据	65,910,097.33	应付票据	1,784,995,433.67
应收账款	3,141,762,238.78	应付账款	32,478,408,398.47
预付款项	25,381,802,239.38	预收款项	132,547,654,524.82
其他应收款	30,334,956,145.95	应付职工薪酬	122,677,701.18
应收关联公司款		应交税费	-10,344,620,537.53
应收利息		应付利息	340,241,816.45
应收股利		应付股利	9,318,020.00
存货	288,265,839,946.06	其他应付款	29,599,895,799.01
其中:消耗性生物资产		应付关联公司款	
一年内到期的非流动资产		一年内到期的非流动负债	32,194,271,673.00
其他流动资产		其他流动负债	
流动资产合计	384,675,186,038.32	流动负债合计	221,833,742,799.07
可供出售金融资产	99,703,363.47	长期借款	66,411,738,488.19
持有至到期投资		应付债券	18,393,297,869.73
长期应收款		长期应付款	
长期股权投资	4,819,290,328.23	专项应付款	
投资性房地产	9,431,613,049.62	预计负债	
固定资产	3,155,297,651.00	递延所得税负债	54,039,890.91
在建工程		其他非流动负债	
工程物资		非流动负债合计	84,859,076,248.83
固定资产清理		负债合计	306,692,819,047.90
生产性生物资产		实收资本(或股本)	10,756,715,193.00
油气资产		资本公积	6,954,597,662.34
无形资产	28,380,815.56	盈余公积	2,151,236,540.48
开发支出		减:库存股	
商誉	10,342,507.30	未分配利润	51,640,750,151.69
长期待摊费用	45,231,045.50	少数股东权益	25,617,824,049.08
递延所得税资产	1,561,345,404.16	外币报表折算价差	
其他非流动资产		非正常经营项目收益调整	
非流动资产合计	19,158,016,968.64	所有者权益(或股东权益)合计	97,140,383,959.06
资产总计	403,833,203,006.96	负债和所有者(或股东权益)合计	403,833,203,006.96
科目	2015年度	科目	2015年度
一、营业收入	123,428,784,172.05	二、营业利润	22,724,408,321.20
减:营业成本	82,453,305,721.09	加:补贴收入	
营业税金及附加	12,156,910,342.35	营业外收入	259,037,941.59
销售费用	2,731,150,760.10	减:营业外支出	82,687,125.29
管理费用	1,871,516,542.06	其中:非流动资产处置净损失	405,060.18
堪探费用		加:影响利润总额的其他科目	
财务费用	2,327,795,718.48	三、利润总额	22,900,759,137.50
资产减值损失	156,255,533.52	减:所得税	6,073,041,272.11
加:公允价值变动净收益		加:影响净利润的其他科目	
投资收益	992,558,766.75	四、净利润	16,827,717,865.39
其中:对联营企业和合营企业的投资权益	991,181,385.23	归属于母公司所有者的净利润	12,347,579,022.33
影响营业利润的其他科目		少数股东损益	4,480,138,843.06

