科目	2015-12-31	科目	2015-12-31
货币资金	162,993,206.42	短期借款	68,500,000.00
交易性金融资产		交易性金融负债	
应收票据		应付票据	11,863,078.46
应收账款	74,077,384.51	应付账款	156,992,582.59
预付款项	11,797,602.39	预收款项	225,928,938.54
其他应收款	218,478,411.05	应付职工薪酬	3,694,371.10
应收关联公司款		应交税费	72,426,033.78
应收利息		应付利息	
应收股利		应付股利	6.59
存货	307,656,455.41	其他应付款	361,755,064.52
其中:消耗性生物资产		应付关联公司款	
一年内到期的非流动资产		一年内到期的非流动负债	30,000,000.00
其他流动资产		其他流动负债	
流动资产合计	775,003,059.78	流动负债合计	931,160,075.58
可供出售金融资产	16,284,000.00	长期借款	26,000,000.00
持有至到期投资		应付债券	20,000,000.00
长期应收款	735,054,565.49	长期应付款	
长期股权投资	2,279,024.46	专项应付款	
投资性房地产	24,845,078.57	预计负债	258,089.90
固定资产	37,251,306.32	递延所得税负债	3,391,500.00
在建工程	262,004,809.19	其他非流动负债	
工程物资		非流动负债合计	49,649,589.90
固定资产清理		负债合计	980,809,665.48
生产性生物资产		实收资本(或股本)	1,058,536,842.00
油气资产		资本公积	638,052,390.90
无形资产	37,658,202.89	盈余公积	149,519,070.67
开发支出		减:库存股	
商誉	229,539,757.54	未分配利润	-569,772,039.23
长期待摊费用	1,324,580.65	少数股东权益	64,487,838.10
递延所得税资产	13,100,085.70	外币报表折算价差	
其他非流动资产	59,664,319.80	非正常经营项目收益调整	
非流动资产合计	1,419,005,730.61	所有者权益(或股东权益)合计	1,213,199,124.91
资产总计	2,194,008,790.39	负债和所有者(或股东权益)合计	2,194,008,790.39
科目	2015年度	科目	2015年度
一、营业收入	84,125,970.69	二、营业利润	-59,377,412.59
减:营业成本	57,608,246.98	加:补贴收入	
营业税金及附加	2,867,240.91	营业外收入	6,222,686.32
销售费用	5,827,018.04	减:营业外支出	23,024.76
管理费用	56,741,387.57	其中:非流动资产处置净损失	11,952.15
堪探费用		加:影响利润总额的其他科目	
财务费用	11,286,140.24	三、利润总额	-53,177,751.03
资产减值损失	9,252,245.94	减:所得税	853,965.47
加:公允价值变动净收益		加:影响净利润的其他科目	
投资收益	78,896.40	四、净利润	-54,031,716.50
其中:对联营企业和合营企业的投资权益	81,114.14	归属于母公司所有者的净利润	-55,239,327.37
影响营业利润的其他科目		少数股东损益	1,207,610.87

