科目	2015-12-31	科目	2015-12-31
货币资金	15,931,802,925.46	短期借款	2,972,380,000.00
交易性金融资产	191,726,816.13	交易性金融负债	73,633,010.00
应收票据		应付票据	429,100,000.00
应收账款	76,294,144.51	应付账款	1,356,194,130.07
预付款项	935,615,204.54	预收款项	9,430,385,867.41
其他应收款	434,697,661.84	应付职工薪酬	7,946,670.14
应收关联公司款		应交税费	1,406,176,569.63
应收利息	13,910,920.15	应付利息	410,154,894.09
应收股利		应付股利	7,787,227.10
存货	49,096,349,562.67	其他应付款	1,363,281,734.34
其中:消耗性生物资产		应付关联公司款	
一年内到期的非流动资产	6,992,000.00	一年内到期的非流动负债	13,457,313,597.75
其他流动资产	4,351,479,506.96	其他流动负债	4,751,110,056.90
流动资产合计	71,038,868,742.26	流动负债合计	35,665,463,757.43
可供出售金融资产	7,969,104,144.68	长期借款	14,910,477,393.00
持有至到期投资		应付债券	11,254,232,944.69
长期应收款		长期应付款	
长期股权投资	7,332,907,214.99	专项应付款	
投资性房地产	338,853,129.38	预计负债	60,000,000.00
固定资产	226,874,169.71	递延所得税负债	1,748,188.31
在建工程	5,248,576.83	其他非流动负债	1,548,751,607.50
工程物资		非流动负债合计	28,001,228,832.03
固定资产清理		负债合计	63,666,692,589.46
生产性生物资产		实收资本(或股本)	9,099,670,428.00
油气资产		资本公积	8,851,330,027.78
无形资产	265,418,203.62	盈余公积	787,114,239.21
开发支出	839,126,199.31	减:库存股	
商誉		未分配利润	6,331,411,362.06
长期待摊费用	5,678,841.57	少数股东权益	1,276,761,405.86
递延所得税资产	226,851,130.22	外币报表折算价差	
其他非流动资产	818,508,988.00	非正常经营项目收益调整	
非流动资产合计	18,028,570,598.31	所有者权益(或股东权益)合计	25,400,746,751.11
资产总计	89,067,439,340.57	负债和所有者(或股东权益)合计	89,067,439,340.57
科目	2015年度	科目	2015年度
一、营业收入	11,636,298,826.34	二、营业利润	1,508,957,842.35
减:营业成本	8,646,113,705.25	加:补贴收入	
营业税金及附加	825,615,991.45	营业外收入	9,624,147.22
销售费用	420,170,490.50	减:营业外支出	24,046,231.04
管理费用	315,784,015.59	其中:非流动资产处置净损失	128,537.69
堪探费用		加:影响利润总额的其他科目	
财务费用	877,996,738.69	三、利润总额	1,494,535,758.53
资产减值损失	27,177,348.94	减:所得税	452,856,194.90
加:公允价值变动净收益	5,702,444.42	加:影响净利润的其他科目	
投资收益	979,814,862.01	四、净利润	1,041,679,563.63
其中:对联营企业和合营企业的投资权益	824,865,304.25	归属于母公司所有者的净利润	1,160,723,279.77
影响营业利润的其他科目		少数股东损益	-119,043,716.14

