科目	2015-12-31	科目	2015-12-31
货币资金	2,503,506,070.22	短期借款	
交易性金融资产		交易性金融负债	
应收票据	76,014,016.35	应付票据	44,409,745.80
应收账款	544,495,458.79	应付账款	886,197,687.36
预付款项	25,413,934.73	预收款项	2,272,694,786.97
其他应收款	455,658,432.29	应付职工薪酬	60,977,271.58
应收关联公司款		应交税费	297,518,802.02
应收利息	307,105.21	应付利息	36,291,223.54
应收股利	204,244,469.96	应付股利	48,447,726.36
存货	5,739,575,358.58	其他应付款	787,513,344.33
其中:消耗性生物资产		应付关联公司款	
一年内到期的非流动资产	11,552,131.25	一年内到期的非流动负债	47,152,676.08
其他流动资产	449,010,705.62	其他流动负债	2,046,964.07
流动资产合计	10,009,777,683.00	流动负债合计	4,483,250,228.11
可供出售金融资产		长期借款	
持有至到期投资		应付债券	748,520,619.44
长期应收款	51,850,079.28	长期应付款	161,250,021.41
长期股权投资	218,190,524.68	专项应付款	
投资性房地产	4,855,604.30	预计负债	4,904,385.19
固定资产	880,773,732.57	递延所得税负债	
在建工程	25,763,959.22	其他非流动负债	
工程物资		非流动负债合计	928,699,026.04
固定资产清理	114,065.69	负债合计	5,411,949,254.15
生产性生物资产		实收资本(或股本)	1,877,530,273.00
油气资产		资本公积	3,159,714,895.65
无形资产	136,395,934.88	盈余公积	234,063,774.42
开发支出		减:库存股	
商誉		未分配利润	546,706,022.32
长期待摊费用	6,440,279.82	少数股东权益	154,364,315.61
递延所得税资产	50,945,673.21	外币报表折算价差	
其他非流动资产		非正常经营项目收益调整	
非流动资产合计	1,375,329,853.65	所有者权益(或股东权益)合计	5,973,158,282.50
资产总计	11,385,107,536.65	负债和所有者(或股东权益)合计	11,385,107,536.65
科目	2015年度	科目	2015年度
一、营业收入	4,883,102,441.33	二、营业利润	409,370,080.50
减:营业成本	3,681,532,298.10	加:补贴收入	
营业税金及附加	359,077,671.42	营业外收入	15,338,972.59
销售费用	214,494,096.84	减:营业外支出	16,215,338.51
管理费用	277,408,402.24	其中:非流动资产处置净损失	11,092,330.33
堪探费用		加:影响利润总额的其他科目	
财务费用	33,248,088.58	三、利润总额	408,493,714.58
资产减值损失	128,292,717.09	减:所得税	182,767,193.16
加:公允价值变动净收益		加:影响净利润的其他科目	
投资收益	220,320,913.44	四、净利润	225,726,521.42
其中:对联营企业和合营企业的投资权益	210,689,531.22	归属于母公司所有者的净利润	221,928,079.54
影响营业利润的其他科目		少数股东损益	3,798,441.88

