科目	2015-12-31	科目	2015-12-31
货币资金	2,926,144,765.79	短期借款	1,176,000,000.00
交易性金融资产		交易性金融负债	
应收票据	108,791,649.95	应付票据	
应收账款	881,193,779.05	应付账款	27,081,650.05
预付款项	62,634,781.65	预收款项	104,450,044.46
其他应收款	169,073,485.84	应付职工薪酬	690,846,553.99
应收关联公司款		应交税费	359,007,165.96
应收利息		应付利息	11,527,952.99
应收股利		应付股利	7,840,000.00
存货		其他应付款	474,114,298.42
其中:消耗性生物资产		应付关联公司款	
一年内到期的非流动资产		一年内到期的非流动负债	
其他流动资产	2,067,594,714.40	其他流动负债	858,173,395.90
流动资产合计	6,215,433,176.68	流动负债合计	3,709,041,061.77
可供出售金融资产	258,881,500.00	长期借款	
持有至到期投资		应付债券	
长期应收款		长期应付款	44,840,000.00
长期股权投资	18,622,835.24	专项应付款	
投资性房地产	91,981,982.57	预计负债	
固定资产	181,987,547.82	递延所得税负债	
在建工程		其他非流动负债	
工程物资		非流动负债合计	44,840,000.00
固定资产清理		负债合计	3,753,881,061.77
生产性生物资产		实收资本(或股本)	1,445,696,230.00
油气资产		资本公积	915,390,729.14
无形资产	51,613,637.71	盈余公积	303,020,499.18
开发支出		减:库存股	
商誉	294,102,602.88	未分配利润	885,779,463.75
长期待摊费用	19,786,678.34	少数股东权益	94,273,086.81
递延所得税资产	238,613,306.63	外币报表折算价差	
其他非流动资产	27,000,000.00	非正常经营项目收益调整	
非流动资产合计	1,182,590,091.19	所有者权益(或股东权益)合计	3,644,142,206.10
资产总计	7,398,023,267.87	负债和所有者(或股东权益)合计	7,398,023,267.87
科目	2015年度	科目	2015年度
一、营业收入	4,710,553,211.68	二、营业利润	747,552,096.51
减:营业成本	3,177,827,624.20	加:补贴收入	
营业税金及附加	267,791,435.83	营业外收入	10,582,457.88
销售费用		减:营业外支出	3,587,731.91
管理费用	344,862,892.39	其中:非流动资产处置净损失	570,429.25
堪探费用		加:影响利润总额的其他科目	
财务费用	56,106,284.82	三、利润总额	754,546,822.48
资产减值损失	121,557,443.00	减:所得税	210,538,952.48
加:公允价值变动净收益		加:影响净利润的其他科目	
投资收益	5,144,565.07	四、净利润	544,007,870.00
其中:对联营企业和合营企业的投资权益		归属于母公司所有者的净利润	509,389,237.73
影响营业利润的其他科目		少数股东损益	34,618,632.27

