科目	2015-12-31	科目	2015-12-31
货币资金	880,239,367.68	短期借款	
交易性金融资产		交易性金融负债	
应收票据		应付票据	
应收账款	55,859,183.38	应付账款	265,065,053.03
预付款项	85,127,307.33	预收款项	165,771,944.90
其他应收款	12,832,861.88	应付职工薪酬	16,614,885.33
应收关联公司款		应交税费	52,958,089.99
应收利息	2,630,738.71	应付利息	18,476,067.86
应收股利		应付股利	27,335,435.00
存货	12,133,747.77	其他应付款	112,480,257.66
其中:消耗性生物资产		应付关联公司款	
一年内到期的非流动资产	2,476,840.12	一年内到期的非流动负债	461,523,404.46
其他流动资产	12,722,193.07	其他流动负债	48,479,880.00
流动资产合计	1,064,022,239.94	流动负债合计	1,168,705,018.23
可供出售金融资产		长期借款	1,266,708,166.30
持有至到期投资		应付债券	365,460,003.17
长期应收款		长期应付款	
长期股权投资	119,735,872.47	专项应付款	700,000.00
投资性房地产	466,991,352.00	预计负债	2,071,200.09
固定资产	1,378,995,752.28	递延所得税负债	60,843,196.22
在建工程	543,428,002.26	其他非流动负债	
工程物资		非流动负债合计	1,695,782,565.78
固定资产清理		负债合计	2,864,487,584.01
生产性生物资产		实收资本(或股本)	422,774,136.00
油气资产		资本公积	557,412,461.29
无形资产	156,192,270.85	盈余公积	45,709,177.32
开发支出		减:库存股	
商誉		未分配利润	-180,913,659.70
长期待摊费用	1,742,352.67	少数股东权益	
递延所得税资产	13,832,809.46	外币报表折算价差	
其他非流动资产		非正常经营项目收益调整	
非流动资产合计	2,680,918,411.99	所有者权益(或股东权益)合计	880,453,067.92
资产总计	3,744,940,651.93	负债和所有者(或股东权益)合计	3,744,940,651.93
科目	2015年度	科目	2015年度
一、营业收入	1,321,008,112.51	二、营业利润	102,400,333.95
减:营业成本	846,519,313.30	加:补贴收入	
营业税金及附加	27,318,862.92	营业外收入	1,090,680.45
销售费用	93,602,436.82	减:营业外支出	1,496,871.85
管理费用	114,672,119.44	其中:非流动资产处置净损失	1,282,989.08
堪探费用		加:影响利润总额的其他科目	
财务费用	137,778,333.12	三、利润总额	101,994,142.55
资产减值损失	490,864.67	减:所得税	38,056,470.93
加:公允价值变动净收益	1,915,217.00	加:影响净利润的其他科目	
投资收益	-141,065.29	四、净利润	63,937,671.62
其中:对联营企业和合营企业的投资权益	-141,065.29	归属于母公司所有者的净利润	63,937,671.62
影响营业利润的其他科目		少数股东损益	

