科目	2015-12-31	科目	2015-12-31
货币资金	3,130,220.73	短期借款	
交易性金融资产		交易性金融负债	
应收票据		应付票据	
应收账款		应付账款	24,378,569.22
预付款项		预收款项	6,632,475.24
其他应收款	1,821,592.54	应付职工薪酬	1,945,821.02
应收关联公司款		应交税费	445,759.62
应收利息		应付利息	
应收股利		应付股利	157,312.40
存货	103,142,409.40	其他应付款	57,476,812.12
其中:消耗性生物资产		应付关联公司款	
一年内到期的非流动资产		一年内到期的非流动负债	26,986,200.00
其他流动资产		其他流动负债	
流动资产合计	108,094,222.67	流动负债合计	118,022,949.62
可供出售金融资产	400,000.00	长期借款	
持有至到期投资		应付债券	
长期应收款		长期应付款	
长期股权投资	41,654,860.97	专项应付款	
投资性房地产		预计负债	
固定资产	10,037,553.17	递延所得税负债	
在建工程		其他非流动负债	
工程物资		非流动负债合计	
固定资产清理		负债合计	118,022,949.62
生产性生物资产		实收资本(或股本)	224,226,822.00
油气资产		资本公积	237,087,924.90
无形资产	2,614,772.78	盈余公积	
开发支出		减:库存股	
商誉		未分配利润	-404,560,238.36
长期待摊费用		少数股东权益	
递延所得税资产	2,621,891.12	外币报表折算价差	
其他非流动资产		非正常经营项目收益调整	
非流动资产合计	57,329,078.04	所有者权益(或股东权益)合计	47,400,351.09
资产总计	165,423,300.71	负债和所有者(或股东权益)合计	165,423,300.71
科目	2015年度	科目	2015年度
一、营业收入	16,897,964.73	二、营业利润	2,357,112.23
减:营业成本	5,934,451.08	加:补贴收入	
营业税金及附加	954,735.01	营业外收入	23,919,148.04
销售费用		减:营业外支出	9,957,289.80
管理费用	4,499,753.03	其中:非流动资产处置净损失	630,595.00
堪探费用		加:影响利润总额的其他科目	
财务费用	2,496,379.12	三、利润总额	16,318,970.47
资产减值损失	153,975.29	减:所得税	1,605,888.88
加:公允价值变动净收益		加:影响净利润的其他科目	
投资收益	-501,558.97	四、净利润	14,713,081.59
其中:对联营企业和合营企业的投资权益	-501,558.97	归属于母公司所有者的净利润	14,713,081.59
影响营业利润的其他科目		少数股东损益

