科目	2015-12-31	科目	2015-12-31
货币资金	3,297,968,563.49	短期借款	1,820,000,000.00
交易性金融资产	776,781,201.46	交易性金融负债	
应收票据		应付票据	
应收账款	133,474,074.70	应付账款	3,815,011,276.24
预付款项	922,015,632.65	预收款项	3,247,970,091.30
其他应收款	663,891,568.52	应付职工薪酬	6,807,339.86
应收关联公司款		应交税费	1,049,042,694.94
应收利息		应付利息	112,816,944.18
应收股利		应付股利	
存货	28,869,687,661.01	其他应付款	6,998,519,953.31
其中:消耗性生物资产		应付关联公司款	
一年内到期的非流动资产		一年内到期的非流动负债	1,800,088,150.87
其他流动资产	245,000,000.00	其他流动负债	
流动资产合计	34,926,068,701.83	流动负债合计	18,850,256,450.70
可供出售金融资产	31,000,000.00	长期借款	5,689,000,000.00
持有至到期投资		应付债券	2,079,528,371.15
长期应收款		长期应付款	
长期股权投资	2,350,253.05	专项应付款	
投资性房地产	482,340,874.68	预计负债	
固定资产	441,537,997.98	递延所得税负债	20,952,322.40
在建工程		其他非流动负债	
工程物资		非流动负债合计	7,789,480,693.55
固定资产清理		负债合计	26,639,737,144.25
生产性生物资产		实收资本(或股本)	2,011,556,942.00
油气资产		资本公积	1,557,080,786.06
无形资产		盈余公积	319,210,445.22
开发支出		减:库存股	
商誉		未分配利润	1,106,071,687.38
长期待摊费用	17,570,109.25	少数股东权益	4,842,726,109.56
递延所得税资产	490,167,828.55	外币报表折算价差	
其他非流动资产	85,347,349.13	非正常经营项目收益调整	
非流动资产合计	1,550,314,412.64	所有者权益(或股东权益)合计	9,836,645,970.22
资产总计	36,476,383,114.47	负债和所有者(或股东权益)合计	36,476,383,114.47
科目	2015年度	科目	2015年度
一、营业收入	5,167,571,883.76	二、营业利润	860,295,141.88
减:营业成本	3,187,132,432.02	加:补贴收入	
营业税金及附加	629,971,474.59	营业外收入	1,377,930.97
销售费用	226,181,058.53	减:营业外支出	45,556,459.50
管理费用	298,234,971.92	其中:非流动资产处置净损失	109,788.37
堪探费用		加:影响利润总额的其他科目	
财务费用	302,327,487.24	三、利润总额	816,116,613.35
资产减值损失	1,465,939.68	减:所得税	175,456,951.73
加:公允价值变动净收益	232,803,582.21	加:影响净利润的其他科目	
投资收益	105,233,039.89	四、净利润	640,659,661.62
其中:对联营企业和合营企业的投资权益	8,991.91	归属于母公司所有者的净利润	457,241,571.49
影响营业利润的其他科目		少数股东损益	183,418,090.13

