科目	2015-12-31	科目	2015-12-31
货币资金	959,444,721.64	短期借款	
交易性金融资产		交易性金融负债	
应收票据		应付票据	
应收账款	295,036,900.24	应付账款	437,020,861.25
预付款项	90,311,488.07	预收款项	609,351,123.20
其他应收款	50,712,056.73	应付职工薪酬	7,277,625.11
应收关联公司款		应交税费	344,254,610.98
应收利息		应付利息	17,229,494.25
应收股利		应付股利	36,500.00
存货	2,732,673,716.04	其他应付款	34,865,333.62
其中:消耗性生物资产		应付关联公司款	
一年内到期的非流动资产		一年内到期的非流动负债	100,000,000.00
其他流动资产	63,238,669.08	其他流动负债	
流动资产合计	4,191,417,551.80	流动负债合计	1,550,035,548.41
可供出售金融资产	40,000,000.00	长期借款	606,000,000.00
持有至到期投资		应付债券	594,481,109.45
长期应收款		长期应付款	
长期股权投资		专项应付款	
投资性房地产	46,258,930.00	预计负债	
固定资产	11,243,203.84	递延所得税负债	20,139,227.13
在建工程		其他非流动负债	
工程物资		非流动负债合计	1,220,620,336.58
固定资产清理		负债合计	2,770,655,884.99
生产性生物资产		实收资本(或股本)	725,147,460.00
油气资产		资本公积	15,805,709.48
无形资产	326,000.00	盈余公积	178,220,223.06
开发支出		减:库存股	
商誉	25,655,100.71	未分配利润	711,122,789.55
长期待摊费用		少数股东权益	750,838.80
递延所得税资产	9,387,828.36	外币报表折算价差	
其他非流动资产	77,480,929.36	非正常经营项目收益调整	
非流动资产合计	210,351,992.27	所有者权益(或股东权益)合计	1,631,113,659.08
资产总计	4,401,769,544.07	负债和所有者(或股东权益)合计	4,401,769,544.07
科目	2015年度	科目	2015年度
一、营业收入	1,530,017,318.89	二、营业利润	121,641,085.82
减:营业成本	1,135,997,716.88	加:补贴收入	
营业税金及附加	154,973,623.55	营业外收入	788,957.71
销售费用	30,064,920.98	减:营业外支出	1,192,836.20
管理费用	59,900,783.81	其中:非流动资产处置净损失	121,167.23
堪探费用		加:影响利润总额的其他科目	
财务费用	10,162,623.17	三、利润总额	121,237,207.33
资产减值损失	24,826,358.85	减:所得税	60,716,031.66
加:公允价值变动净收益	600,690.00	加:影响净利润的其他科目	
投资收益	6,949,104.17	四、净利润	60,521,175.67
其中:对联营企业和合营企业的投资权益		归属于母公司所有者的净利润	60,405,167.70
影响营业利润的其他科目		少数股东损益	116,007.97

