科目	2015-12-31	科目	2015-12-31
货币资金	1,031,442,232.08	短期借款	185,000,000.00
交易性金融资产		交易性金融负债	
应收票据		应付票据	
应收账款	9,060,026.02	应付账款	183,973,262.97
预付款项	366,129,442.51	预收款项	3,219,294,257.48
其他应收款	288,741,265.61	应付职工薪酬	16,314,923.87
应收关联公司款		应交税费	188,531,256.48
应收利息		应付利息	2,966,810.68
应收股利		应付股利	4,767,057.50
存货	6,256,525,967.70	其他应付款	371,121,137.57
其中:消耗性生物资产		应付关联公司款	
一年内到期的非流动资产		一年内到期的非流动负债	490,000,000.00
其他流动资产	189,961,199.91	其他流动负债	
流动资产合计	8,141,860,133.83	流动负债合计	4,661,968,706.55
可供出售金融资产	12,863,624.08	长期借款	816,250,000.00
持有至到期投资		应付债券	
长期应收款		长期应付款	
长期股权投资	177,981,693.55	专项应付款	
投资性房地产	127,179,146.96	预计负债	
固定资产	19,815,006.67	递延所得税负债	60,319,462.77
在建工程		其他非流动负债	
工程物资		非流动负债合计	877,996,129.42
固定资产清理		负债合计	5,539,964,835.97
生产性生物资产		实收资本(或股本)	774,144,175.00
油气资产		资本公积	828,971,368.00
无形资产	10,522,090.08	盈余公积	157,943,210.86
开发支出		减:库存股	
商誉		未分配利润	964,641,153.21
长期待摊费用	1,620,260.75	少数股东权益	469,355,756.17
递延所得税资产	193,022,572.55	外币报表折算价差	
其他非流动资产	50,155,970.74	非正常经营项目收益调整	
非流动资产合计	593,160,365.38	所有者权益(或股东权益)合计	3,195,055,663.24
资产总计	8,735,020,499.21	负债和所有者(或股东权益)合计	8,735,020,499.21
科目	2015年度	科目	2015年度
一、营业收入	1,719,537,161.17	二、营业利润	-47,691,906.35
减:营业成本	1,527,159,668.35	加:补贴收入	
营业税金及附加	81,181,365.02	营业外收入	10,351,135.59
销售费用	37,410,754.05	减:营业外支出	2,294,549.65
管理费用	73,421,467.10	其中:非流动资产处置净损失	218,938.87
堪探费用		加:影响利润总额的其他科目	
财务费用	21,642,762.41	三、利润总额	-39,635,320.41
资产减值损失	13,704,699.82	减:所得税	18,386,660.57
加:公允价值变动净收益		加:影响净利润的其他科目	
投资收益	-12,708,350.77	四、净利润	-58,021,980.98
其中:对联营企业和合营企业的投资权益	-17,346,640.10	归属于母公司所有者的净利润	-64,401,603.37
影响营业利润的其他科目		少数股东损益	6,379,622.39

