科目	2015-12-31	科目	2015-12-31
货币资金	2,277,363,558.56	短期借款	
交易性金融资产		交易性金融负债	
应收票据		应付票据	5,411,150.90
应收账款	7,638,569.14	应付账款	1,029,241,452.36
预付款项	191,783,916.74	预收款项	1,931,955,350.15
其他应收款	106,348,716.10	应付职工薪酬	9,219,962.39
应收关联公司款		应交税费	71,997,324.19
应收利息	456,950.78	应付利息	52,040,627.58
应收股利		应付股利	
存货	8,158,824,048.58	其他应付款	997,053,962.66
其中:消耗性生物资产		应付关联公司款	
一年内到期的非流动资产		一年内到期的非流动负债	1,811,035,884.97
其他流动资产	124,421,663.26	其他流动负债	
流动资产合计	10,866,837,423.16	流动负债合计	5,907,955,715.20
可供出售金融资产	1,893,101,098.70	长期借款	2,151,200,000.00
持有至到期投资	7,000,000.00	应付债券	986,206,223.33
长期应收款		长期应付款	297,640.15
长期股权投资	5,352,056.07	专项应付款	
投资性房地产	444,369,290.91	预计负债	
固定资产	31,468,267.85	递延所得税负债	243,699,386.50
在建工程		其他非流动负债	61,289,273.07
工程物资		非流动负债合计	3,442,692,523.05
固定资产清理		负债合计	9,350,648,238.25
生产性生物资产		实收资本(或股本)	1,050,000,000.00
油气资产		资本公积	1,043,726,568.97
无形资产	367,045.06	盈余公积	290,805,480.88
开发支出		减:库存股	
商誉		未分配利润	874,232,859.04
长期待摊费用		少数股东权益	126,115,934.70
递延所得税资产	88,696,177.58	外币报表折算价差	
其他非流动资产	1,103,962.99	非正常经营项目收益调整	
非流动资产合计	2,599,789,818.16	所有者权益(或股东权益)合计	4,115,979,003.07
资产总计	13,466,627,241.32	负债和所有者(或股东权益)合计	13,466,627,241.32
科目	2015年度	科目	2015年度
一、营业收入	5,736,640,329.66	二、营业利润	264,940,565.47
减:营业成本	4,840,549,931.60	加:补贴收入	
营业税金及附加	430,776,382.16	营业外收入	2,345,202.12
销售费用	61,540,295.63	减:营业外支出	3,342,426.70
管理费用	73,116,733.43	其中:非流动资产处置净损失	7,646.10
堪探费用		加:影响利润总额的其他科目	
财务费用	100,457,504.73	三、利润总额	263,943,340.89
资产减值损失	27,726,536.79	减:所得税	87,472,774.11
加:公允价值变动净收益		加:影响净利润的其他科目	
投资收益	53,919,288.06	四、净利润	176,470,566.78
其中:对联营企业和合营企业的投资权益	-305,553.83	归属于母公司所有者的净利润	185,728,083.75
影响营业利润的其他科目		少数股东损益	-9,257,516.97

