科目	2015-12-31	科目	2015-12-31
货币资金	5,458,405,964.54	短期借款	2,000,000,000.00
交易性金融资产		交易性金融负债	
应收票据		应付票据	
应收账款	3,794,720.72	应付账款	1,624,929,624.77
预付款项	39,109,033.71	预收款项	2,073,250,030.04
其他应收款	3,389,785,731.51	应付职工薪酬	3,748,456.38
应收关联公司款		应交税费	565,697,654.21
应收利息	4,741,733.34	应付利息	66,175,833.33
应收股利		应付股利	271,834,371.78
存货	15,749,562,448.41	其他应付款	3,745,705,666.61
其中:消耗性生物资产		应付关联公司款	
一年内到期的非流动资产		一年内到期的非流动负债	2,215,000,000.00
其他流动资产	29,567,671.27	其他流动负债	
流动资产合计	24,674,967,303.50	流动负债合计	12,566,341,637.12
可供出售金融资产	527,271,249.93	长期借款	6,832,500,000.00
持有至到期投资		应付债券	1,989,427,911.76
长期应收款		长期应付款	
长期股权投资	317,571,891.28	专项应付款	
投资性房地产	1,639,351,450.50	预计负债	
固定资产	31,595,649.40	递延所得税负债	374,356,923.40
在建工程		其他非流动负债	
工程物资		非流动负债合计	9,196,284,835.16
固定资产清理		负债合计	21,762,626,472.28
生产性生物资产		实收资本(或股本)	1,083,370,873.00
油气资产		资本公积	33,740,072.63
无形资产	1,248,000.00	盈余公积	362,124,939.10
开发支出		减:库存股	
商誉	40,456,329.28	未分配利润	3,009,187,042.32
长期待摊费用	75,055.50	少数股东权益	741,386,362.69
递延所得税资产	41,219,943.80	外币报表折算价差	
其他非流动资产	1,427,250.00	非正常经营项目收益调整	
非流动资产合计	2,600,216,819.69	所有者权益(或股东权益)合计	5,512,557,650.91
资产总计	27,275,184,123.19	负债和所有者(或股东权益)合计	27,275,184,123.19
科目	2015年度	科目	2015年度
一、营业收入	6,619,175,075.58	二、营业利润	972,603,664.87
减:营业成本	4,311,284,476.47	加:补贴收入	
营业税金及附加	842,202,386.20	营业外收入	35,890,351.08
销售费用	164,201,130.60	减:营业外支出	29,259,683.71
管理费用	275,007,900.52	其中:非流动资产处置净损失	
堪探费用		加:影响利润总额的其他科目	
财务费用	283,007,218.34	三、利润总额	979,234,332.24
资产减值损失	-66,065,816.47	减:所得税	374,661,621.18
加:公允价值变动净收益		加:影响净利润的其他科目	
投资收益	163,065,884.95	四、净利润	604,572,711.06
其中:对联营企业和合营企业的投资权益		归属于母公司所有者的净利润	519,654,725.22
影响营业利润的其他科目		少数股东损益	84,917,985.84

