科目	2015-12-31	科目	2015-12-31
货币资金	3,461,485,906.44	短期借款	1,135,000,000.00
交易性金融资产		交易性金融负债	
应收票据		应付票据	
应收账款	1,297,998,214.12	应付账款	2,948,263,927.23
预付款项	229,444,897.17	预收款项	3,290,723,338.30
其他应收款	1,104,165,319.48	应付职工薪酬	23,386,862.20
应收关联公司款		应交税费	593,737,848.18
应收利息	322,305,648.02	应付利息	185,647,535.70
应收股利		应付股利	21,058,082.24
存货	31,397,884,436.57	其他应付款	4,311,929,404.65
其中:消耗性生物资产		应付关联公司款	
一年内到期的非流动资产		一年内到期的非流动负债	7,641,385,000.00
其他流动资产	284,251,397.20	其他流动负债	
流动资产合计	38,097,535,819.00	流动负债合计	20,151,131,998.50
可供出售金融资产	11,140,678.00	长期借款	15,923,930,448.33
持有至到期投资		应付债券	3,000,000,000.00
长期应收款	3,809,951,262.56	长期应付款	
长期股权投资	747,243,020.54	专项应付款	
投资性房地产	1,449,872,295.95	预计负债	1,980,367.14
固定资产	345,366,759.67	递延所得税负债	529,708,181.19
在建工程	304,568,391.12	其他非流动负债	
工程物资		非流动负债合计	19,455,618,996.66
固定资产清理		负债合计	39,606,750,995.16
生产性生物资产		实收资本(或股本)	1,070,457,939.00
油气资产		资本公积	1,835,739,085.89
无形资产	5,208,011.61	盈余公积	164,763,294.35
开发支出		减:库存股	
商誉	449,939.66	未分配利润	1,158,242,647.58
长期待摊费用	162,672,347.15	少数股东权益	1,286,418,916.33
递延所得税资产	258,291,126.09	外币报表折算价差	
其他非流动资产		非正常经营项目收益调整	
非流动资产合计	7,094,763,832.35	所有者权益(或股东权益)合计	5,585,548,656.19
资产总计	45,192,299,651.35	负债和所有者(或股东权益)合计	45,192,299,651.35
科目	2015年度	科目	2015年度
一、营业收入	4,012,909,898.03	二、营业利润	-4,467,517.41
减:营业成本	2,923,451,876.80	加:补贴收入	
营业税金及附加	251,078,340.32	营业外收入	356,992,583.67
销售费用	116,014,594.37	减:营业外支出	2,331,069.34
管理费用	172,316,987.37	其中:非流动资产处置净损失	24,502.41
堪探费用		加:影响利润总额的其他科目	
财务费用	364,111,459.04	三、利润总额	350,193,996.92
资产减值损失	128,902,174.48	减:所得税	138,865,188.02
加:公允价值变动净收益	853,635.03	加:影响净利润的其他科目	
投资收益	-62,355,618.09	四、净利润	211,328,808.90
其中:对联营企业和合营企业的投资权益	-62,372,039.01	归属于母公司所有者的净利润	278,648,620.59
影响营业利润的其他科目		少数股东损益	-67,319,811.69

