科目	2015-12-31	科目	2015-12-31
货币资金	215,778,283.89	短期借款	4,910,000.00
交易性金融资产		交易性金融负债	
应收票据		应付票据	
应收账款	1,807,263.05	应付账款	33,905,822.24
预付款项	81,866.86	预收款项	
其他应收款	10,127,981.27	应付职工薪酬	870,266.70
应收关联公司款		应交税费	11,609,359.18
应收利息		应付利息	14,255,443.84
应收股利		应付股利	
存货		其他应付款	25,046,905.84
其中:消耗性生物资产		应付关联公司款	
一年内到期的非流动资产		一年内到期的非流动负债	
其他流动资产		其他流动负债	
流动资产合计	227,795,395.07	流动负债合计	90,597,797.80
可供出售金融资产	2,000,000.00	长期借款	
持有至到期投资		应付债券	
长期应收款		长期应付款	
长期股权投资		专项应付款	
投资性房地产		预计负债	
固定资产	759,983.21	递延所得税负债	
在建工程		其他非流动负债	
工程物资		非流动负债合计	
固定资产清理		负债合计	90,597,797.80
生产性生物资产		实收资本(或股本)	128,000,000.00
油气资产		资本公积	141,445,337.87
无形资产		盈余公积	
开发支出		减:库存股	
商誉		未分配利润	-129,487,757.39
长期待摊费用		少数股东权益	
递延所得税资产		外币报表折算价差	
其他非流动资产		非正常经营项目收益调整	
非流动资产合计	2,759,983.21	所有者权益(或股东权益)合计	139,957,580.48
资产总计	230,555,378.28	负债和所有者(或股东权益)合计	230,555,378.28
科目	2015年度	科目	2015年度
一、营业收入	13,128,475.39	二、营业利润	-970,044.66
减:营业成本	11,880,244.52	加:补贴收入	
营业税金及附加	110,831.91	营业外收入	51,297,945.27
销售费用		减:营业外支出	217,385.38
管理费用	9,293,914.20	其中:非流动资产处置净损失	
堪探费用		加:影响利润总额的其他科目	
财务费用	-827,908.46	三、利润总额	50,110,515.23
资产减值损失	-58,289.22	减:所得税	11,243,124.07
加:公允价值变动净收益		加:影响净利润的其他科目	
投资收益	6,300,272.90	四、净利润	38,867,391.16
其中:对联营企业和合营企业的投资权益		归属于母公司所有者的净利润	38,613,414.15
影响营业利润的其他科目		少数股东损益	253,977.01

