科目	2015-12-31	科目	2015-12-31
货币资金	792,094,109.18	短期借款	90,000,000.00
交易性金融资产		交易性金融负债	
应收票据	250,000.00	应付票据	
应收账款	109,290,092.65	应付账款	891,374,987.81
预付款项	4,101,035.30	预收款项	171,268,547.76
其他应收款	4,260,633.19	应付职工薪酬	17,215,866.30
应收关联公司款		应交税费	110,588,618.31
应收利息		应付利息	3,050,357.56
应收股利		应付股利	
存货	3,992,425,719.86	其他应付款	361,388,024.29
其中:消耗性生物资产		应付关联公司款	
一年内到期的非流动资产		一年内到期的非流动负债	209,200,269.32
其他流动资产	494,524,750.85	其他流动负债	
流动资产合计	5,396,946,341.03	流动负债合计	1,854,086,671.35
可供出售金融资产	61,200,000.00	长期借款	1,575,653,071.82
持有至到期投资		应付债券	
长期应收款		长期应付款	
长期股权投资	555,340,188.91	专项应付款	18,591,099.02
投资性房地产	880,190,224.36	预计负债	
固定资产	8,413,514.17	递延所得税负债	
在建工程		其他非流动负债	16,922,814.00
工程物资		非流动负债合计	1,611,166,984.84
固定资产清理		负债合计	3,465,253,656.19
生产性生物资产		实收资本(或股本)	895,172,085.00
油气资产		资本公积	1,979,247,634.75
无形资产	202,159.99	盈余公积	9,454,125.43
开发支出		减:库存股	
商誉		未分配利润	229,901,488.21
长期待摊费用	11,852,413.71	少数股东权益	401,010,477.12
递延所得税资产	65,894,624.53	外币报表折算价差	
其他非流动资产		非正常经营项目收益调整	
非流动资产合计	1,583,093,125.67	所有者权益(或股东权益)合计	3,514,785,810.51
资产总计	6,980,039,466.70	负债和所有者(或股东权益)合计	6,980,039,466.70
科目	2015年度	科目	2015年度
一、营业收入	901,078,298.41	二、营业利润	314,073,386.82
减:营业成本	360,885,483.70	加:补贴收入	
营业税金及附加	90,721,941.65	营业外收入	13,224,680.86
销售费用	35,062,884.78	减:营业外支出	5,773,363.98
管理费用	75,991,771.67	其中:非流动资产处置净损失	
堪探费用		加:影响利润总额的其他科目	
财务费用	52,487,680.12	三、利润总额	321,524,703.70
资产减值损失	-616,281.33	减:所得税	79,125,399.99
加:公允价值变动净收益		加:影响净利润的其他科目	
投资收益	27,528,569.00	四、净利润	242,399,303.71
其中:对联营企业和合营企业的投资权益	27,528,569.00	归属于母公司所有者的净利润	239,355,613.64
影响营业利润的其他科目		少数股东损益	3,043,690.07

