科目	2015-12-31	科目	2015-12-31
货币资金	942,790,529.28	短期借款	43,800,000.00
交易性金融资产		交易性金融负债	
应收票据		应付票据	
应收账款	8,719,021.80	应付账款	708,106,049.40
预付款项	58,797,114.41	预收款项	3,447,326,062.69
其他应收款	1,322,621,051.08	应付职工薪酬	10,344,441.33
应收关联公司款		应交税费	93,210,182.62
应收利息		应付利息	43,493,284.89
应收股利		应付股利	
存货	10,686,838,589.93	其他应付款	663,394,567.68
其中:消耗性生物资产		应付关联公司款	
一年内到期的非流动资产		一年内到期的非流动负债	1,428,111,800.00
其他流动资产	298,116,465.15	其他流动负债	445,414,107.67
流动资产合计	13,317,882,771.65	流动负债合计	6,883,200,496.28
可供出售金融资产		长期借款	2,950,700,000.00
持有至到期投资		应付债券	
长期应收款		长期应付款	
长期股权投资	172,375,559.08	专项应付款	
投资性房地产	34,477,794.17	预计负债	
固定资产	54,213,610.11	递延所得税负债	
在建工程		其他非流动负债	
工程物资		非流动负债合计	2,950,700,000.00
固定资产清理		负债合计	9,833,900,496.28
生产性生物资产		实收资本(或股本)	480,752,550.00
油气资产		资本公积	1,267,279,883.07
无形资产	4,328,918.01	盈余公积	102,562,715.36
开发支出		减:库存股	
商誉		未分配利润	1,931,813,857.93
长期待摊费用		少数股东权益	151,676,047.07
递延所得税资产	184,592,896.69	外币报表折算价差	
其他非流动资产	114,000.00	非正常经营项目收益调整	
非流动资产合计	450,102,778.06	所有者权益(或股东权益)合计	3,934,085,053.43
资产总计	13,767,985,549.71	负债和所有者(或股东权益)合计	13,767,985,549.71
科目	2015年度	科目	2015年度
一、营业收入	3,473,490,212.15	二、营业利润	124,976,478.26
减:营业成本	2,845,640,915.84	加:补贴收入	
营业税金及附加	243,328,771.48	营业外收入	3,059,295.68
销售费用	116,568,444.16	减:营业外支出	3,064,166.29
管理费用	74,657,829.90	其中:非流动资产处置净损失	
堪探费用		加:影响利润总额的其他科目	
财务费用	47,285,768.26	三、利润总额	124,971,607.65
资产减值损失	4,613,032.38	减:所得税	42,801,397.76
加:公允价值变动净收益	-345,909.34	加:影响净利润的其他科目	
投资收益	-16,073,062.53	四、净利润	82,170,209.89
其中:对联营企业和合营企业的投资权益	-16,533,891.85	归属于母公司所有者的净利润	77,542,312.69
影响营业利润的其他科目		少数股东损益	4,627,897.20

