科目	2015-12-31	科目	2015-12-31
货币资金	29,267,129,877.58	短期借款	4,303,326,724.33
交易性金融资产	4,873,705,073.08	交易性金融负债	178,173,705.98
应收票据	6,035,065.42	应付票据	
应收账款	1,182,083,825.79	应付账款	6,172,771,682.55
预付款项	437,537,413.55	预收款项	5,386,803,439.39
其他应收款	302,115,729.64	应付职工薪酬	495,962,934.65
应收关联公司款		应交税费	1,551,951,280.07
应收利息	205,102,953.91	应付利息	661,908,817.06
应收股利	100,000,000.00	应付股利	3,455,747.82
存货	51,643,679,311.86	其他应付款	2,047,785,843.78
其中:消耗性生物资产		应付关联公司款	
一年内到期的非流动资产		一年内到期的非流动负债	9,748,455,013.75
其他流动资产	8,080,035,736.42	其他流动负债	1,096,610,322.37
流动资产合计	100,350,579,931.27	流动负债合计	48,452,611,313.11
可供出售金融资产	4,709,174,410.04	长期借款	37,258,663,148.83
持有至到期投资	123,972,132.34	应付债券	17,081,698,940.31
长期应收款		长期应付款	
长期股权投资	1,133,577,951.44	专项应付款	
投资性房地产	5,765,216,524.88	预计负债	
固定资产	690,701,982.97	递延所得税负债	398,261,659.04
在建工程	607,179,271.60	其他非流动负债	
工程物资		非流动负债合计	54,740,956,689.37
固定资产清理		负债合计	103,193,568,002.48
生产性生物资产		实收资本(或股本)	4,557,311,768.00
油气资产		资本公积	1,212,414,273.34
无形资产	65,702,756.39	盈余公积	594,372,066.60
开发支出		减:库存股	
商誉	1,968,734,062.35	未分配利润	3,418,767,407.44
长期待摊费用	44,999,433.99	少数股东权益	4,874,270,434.42
递延所得税资产	1,264,252,997.60	外币报表折算价差	
其他非流动资产	1,632,108,895.31	非正常经营项目收益调整	
非流动资产合计	18,005,620,418.91	所有者权益(或股东权益)合计	15,162,632,347.70
资产总计	118,356,200,350.18	负债和所有者(或股东权益)合计	118,356,200,350.18
科目	2015年度	科目	2015年度
一、营业收入	9,397,959,111.54	二、营业利润	3,168,080,554.01
减:营业成本	4,870,868,170.13	加:补贴收入	
营业税金及附加	1,565,673,891.70	营业外收入	29,680,968.48
销售费用	395,985,298.39	减:营业外支出	3,635,295.21
管理费用	1,914,830,844.42	其中:非流动资产处置净损失	904,710.51
堪探费用		加:影响利润总额的其他科目	
财务费用	1,188,979,527.20	三、利润总额	3,194,126,227.28
资产减值损失	-10,845,150.22	减:所得税	827,670,362.56
加:公允价值变动净收益	285,960,517.59	加:影响净利润的其他科目	
投资收益	336,388,463.87	四、净利润	2,366,455,864.72
其中:对联营企业和合营企业的投资权益	91,260,916.86	归属于母公司所有者的净利润	2,020,171,828.48
影响营业利润的其他科目		少数股东损益	346,284,036.24

