科目	2015-12-31	科目	2015-12-31
货币资金	4,137,670,102.14	短期借款	10,310,000,000.00
交易性金融资产		交易性金融负债	
应收票据	310,000.00	应付票据	11,800,000.00
应收账款	1,558,182,971.63	应付账款	5,473,812,036.18
预付款项	1,425,398,640.17	预收款项	6,249,494,711.63
其他应收款	511,102,037.19	应付职工薪酬	48,827,104.76
应收关联公司款		应交税费	753,109,532.61
应收利息		应付利息	107,964,520.44
应收股利	15,782,150.31	应付股利	21,560,312.23
存货	39,881,416,815.25	其他应付款	2,140,495,213.91
其中:消耗性生物资产		应付关联公司款	
一年内到期的非流动资产		一年内到期的非流动负债	5,976,928,078.93
其他流动资产	788,981,015.13	其他流动负债	
流动资产合计	48,318,843,731.82	流动负债合计	31,093,991,510.69
可供出售金融资产	1,663,376.40	长期借款	9,829,791,519.91
持有至到期投资		应付债券	518,528,741.23
长期应收款		长期应付款	50,000,000.00
长期股权投资	5,031,199.18	专项应付款	
投资性房地产	423,501,256.24	预计负债	
固定资产	350,659,866.14	递延所得税负债	
在建工程	398,512,175.48	其他非流动负债	14,626,147.36
工程物资		非流动负债合计	10,419,611,910.75
固定资产清理		负债合计	41,513,603,421.44
生产性生物资产		实收资本(或股本)	1,318,719,966.00
油气资产		资本公积	2,445,478,465.01
无形资产	35,218,217.19	盈余公积	334,253,027.26
开发支出		减:库存股	
商誉	32,994,713.90	未分配利润	3,844,301,605.25
长期待摊费用	5,667,849.79	少数股东权益	468,461,577.41
递延所得税资产	226,649,080.42	外币报表折算价差	
其他非流动资产	126,076,595.81	非正常经营项目收益调整	
非流动资产合计	1,605,974,330.55	所有者权益(或股东权益)合计	8,411,214,640.93
资产总计	49,924,818,062.37	负债和所有者(或股东权益)合计	49,924,818,062.37
科目	2015年度	科目	2015年度
一、营业收入	12,387,285,125.39	二、营业利润	830,600,488.07
减:营业成本	9,356,886,764.18	加:补贴收入	
营业税金及附加	974,142,583.32	营业外收入	36,662,685.66
销售费用	375,298,052.38	减:营业外支出	19,440,325.16
管理费用	504,186,341.47	其中:非流动资产处置净损失	6,426,184.49
堪探费用		加:影响利润总额的其他科目	
财务费用	264,028,219.04	三、利润总额	847,822,848.57
资产减值损失	83,691,039.87	减:所得税	345,010,912.05
加:公允价值变动净收益	-47,399.51	加:影响净利润的其他科目	
投资收益	1,595,762.45	四、净利润	502,811,936.52
其中:对联营企业和合营企业的投资权益	463,369.65	归属于母公司所有者的净利润	510,271,580.67
影响营业利润的其他科目		少数股东损益	-7,459,644.15

