科目	2015-12-31	科目	2015-12-31
货币资金	99,150,884.61	短期借款	
交易性金融资产		交易性金融负债	
应收票据		应付票据	
应收账款		应付账款	1,094,806.53
预付款项	20,000.00	预收款项	48,360.00
其他应收款	30,595,513.29	应付职工薪酬	1,801,887.48
应收关联公司款		应交税费	1,959,097.11
应收利息		应付利息	
应收股利		应付股利	
存货	21,576,916.62	其他应付款	2,445,033.25
其中:消耗性生物资产		应付关联公司款	
一年内到期的非流动资产		一年内到期的非流动负债	
其他流动资产		其他流动负债	1,679,606.17
流动资产合计	190,071,665.08	流动负债合计	9,028,790.54
可供出售金融资产	45,000.00	长期借款	
持有至到期投资		应付债券	
长期应收款	29,403,706.50	长期应付款	
长期股权投资		专项应付款	
投资性房地产	1,697,736.46	预计负债	
固定资产	5,997,222.03	递延所得税负债	1,584,631.44
在建工程		其他非流动负债	
工程物资		非流动负债合计	1,584,631.44
固定资产清理		负债合计	10,613,421.98
生产性生物资产		实收资本(或股本)	151,200,000.00
油气资产		资本公积	116,728,278.03
无形资产		盈余公积	597,313.57
开发支出		减:库存股	
商誉		未分配利润	-50,146,015.89
长期待摊费用		少数股东权益	
递延所得税资产	1,777,667.62	外币报表折算价差	
其他非流动资产		非正常经营项目收益调整	
非流动资产合计	38,921,332.61	所有者权益(或股东权益)合计	218,379,575.71
资产总计	228,992,997.69	负债和所有者(或股东权益)合计	228,992,997.69
科目	2015年度	科目	2015年度
一、营业收入	15,594,157.75	二、营业利润	24,360,315.73
减:营业成本	14,994,410.84	加:补贴收入	
营业税金及附加	1,718,354.88	营业外收入	6,320.00
销售费用	83,426.70	减:营业外支出	488.90
管理费用	15,171,530.58	其中:非流动资产处置净损失	
堪探费用		加:影响利润总额的其他科目	
财务费用	-12,978,834.42	三、利润总额	24,366,146.83
资产减值损失	1,788,354.70	减:所得税	1,137,542.76
加:公允价值变动净收益		加:影响净利润的其他科目	
投资收益	29,543,401.26	四、净利润	23,228,604.07
其中:对联营企业和合营企业的投资权益	1,713,233.27	归属于母公司所有者的净利润	23,242,943.58
影响营业利润的其他科目		少数股东损益	-14,339.51

