科目	2015-12-31	科目	2015-12-31
货币资金	13,671,571,823.27	短期借款	9,155,106,800.00
交易性金融资产	105,570,945.09	交易性金融负债	
应收票据		应付票据	3,105,666,108.00
应收账款	628,990,468.80	应付账款	7,823,763,314.11
预付款项	2,954,791,252.76	预收款项	24,196,297,327.31
其他应收款	10,927,335,562.51	应付职工薪酬	26,273,265.43
应收关联公司款		应交税费	1,638,096,587.01
应收利息		应付利息	255,835,991.79
应收股利		应付股利	
存货	67,814,341,655.57	其他应付款	5,308,821,710.60
其中:消耗性生物资产		应付关联公司款	
一年内到期的非流动资产		一年内到期的非流动负债	7,893,537,500.00
其他流动资产	2,454,180,289.17	其他流动负债	
流动资产合计	98,556,781,997.17	流动负债合计	59,403,398,604.25
可供出售金融资产	1,101,263,564.81	长期借款	11,273,940,000.00
持有至到期投资		应付债券	9,855,353,910.96
长期应收款		长期应付款	
长期股权投资	17,421,948.22	专项应付款	
投资性房地产	461,136,332.25	预计负债	
固定资产	1,264,899,749.06	递延所得税负债	323,110,980.80
在建工程	216,834,533.60	其他非流动负债	
工程物资		非流动负债合计	21,452,404,891.76
固定资产清理		负债合计	80,855,803,496.01
生产性生物资产		实收资本(或股本)	4,348,163,851.00
油气资产		资本公积	4,663,796,465.98
无形资产	197,275,209.97	盈余公积	1,974,294,969.44
开发支出		减:库存股	
商誉	209,201,173.02	未分配利润	9,649,495,704.16
长期待摊费用	90,353,765.06	少数股东权益	1,379,776,928.67
递延所得税资产	175,218,142.10	外币报表折算价差	
其他非流动资产	580,945,000.00	非正常经营项目收益调整	
非流动资产合计	4,314,549,418.09	所有者权益(或股东权益)合计	22,015,527,919.25
资产总计	102,871,331,415.26	负债和所有者(或股东权益)合计	102,871,331,415.26
科目	2015年度	科目	2015年度
一、营业收入	23,431,945,877.73	二、营业利润	3,207,378,129.99
减:营业成本	16,750,038,224.22	加:补贴收入	
营业税金及附加	1,872,458,581.27	营业外收入	107,582,980.32
销售费用	548,156,386.81	减:营业外支出	38,941,102.69
管理费用	842,145,851.28	其中:非流动资产处置净损失	128,460.32
堪探费用		加:影响利润总额的其他科目	
财务费用	191,076,955.18	三、利润总额	3,276,020,007.62
资产减值损失	36,080,989.80	减:所得税	703,854,495.58
加:公允价值变动净收益	4,352,803.89	加:影响净利润的其他科目	
投资收益	11,036,436.93	四、净利润	2,572,165,512.04
其中:对联营企业和合营企业的投资权益	-2,266,387.50	归属于母公司所有者的净利润	2,428,235,122.13
影响营业利润的其他科目		少数股东损益	143,930,389.91

