科目	2015-12-31	科目	2015-12-31
货币资金	574,699,091.16	短期借款	220,000,000.00
交易性金融资产		交易性金融负债	
应收票据	50,000.00	应付票据	
应收账款	743,202.41	应付账款	21,968,532.69
预付款项	3,059,079.89	预收款项	211,878,496.65
其他应收款	24,885,721.47	应付职工薪酬	124,159.80
应收关联公司款		应交税费	76,913,716.97
应收利息		应付利息	1,705,584.10
应收股利	2,354,169.86	应付股利	687,056.62
存货	1,363,574,848.45	其他应付款	269,379,843.24
其中:消耗性生物资产		应付关联公司款	
一年内到期的非流动资产		一年内到期的非流动负债	169,000,000.00
其他流动资产	17,143,130.53	其他流动负债	
流动资产合计	1,986,509,243.77	流动负债合计	971,657,390.07
可供出售金融资产	31,768,456.00	长期借款	698,033,809.52
持有至到期投资		应付债券	
长期应收款		长期应付款	
长期股权投资	389,835,642.31	专项应付款	
投资性房地产	907,673,014.34	预计负债	
固定资产	139,398,558.09	递延所得税负债	7,376,061.00
在建工程	1,721,468.20	其他非流动负债	
工程物资		非流动负债合计	705,409,870.52
固定资产清理		负债合计	1,677,067,260.59
生产性生物资产		实收资本(或股本)	524,082,351.00
油气资产		资本公积	217,532,690.10
无形资产	92,442,300.50	盈余公积	196,173,021.63
开发支出		减:库存股	
商誉		未分配利润	884,404,386.31
长期待摊费用	8,206,352.71	少数股东权益	72,046,346.97
递延所得税资产	42,037,587.79	外币报表折算价差	
其他非流动资产		非正常经营项目收益调整	
非流动资产合计	1,613,083,379.94	所有者权益(或股东权益)合计	1,922,525,363.12
资产总计	3,599,592,623.71	负债和所有者(或股东权益)合计	3,599,592,623.71
科目	2015年度	科目	2015年度
一、营业收入	365,338,046.42	二、营业利润	115,084,608.53
减:营业成本	206,997,233.59	加:补贴收入	
营业税金及附加	20,330,193.53	营业外收入	10,330,751.49
销售费用	10,317,052.03	减:营业外支出	1,583,743.25
管理费用	52,227,351.69	其中:非流动资产处置净损失	114,452.71
堪探费用		加:影响利润总额的其他科目	
财务费用	27,611,517.62	三、利润总额	123,831,616.77
资产减值损失	-80,000.00	减:所得税	11,030,035.70
加:公允价值变动净收益		加:影响净利润的其他科目	
投资收益	67,149,910.57	四、净利润	112,801,581.07
其中:对联营企业和合营企业的投资权益	62,390,291.69	归属于母公司所有者的净利润	130,387,303.66
影响营业利润的其他科目		少数股东损益	-17,585,722.59

