科目	2015-12-31	科目	2015-12-31
货币资金	528,470,751.75	短期借款	120,000,000.00
交易性金融资产		交易性金融负债	
应收票据	6,813,607.73	应付票据	71,526,621.00
应收账款	34,076,540.76	应付账款	103,471,960.90
预付款项	77,519,119.69	预收款项	424,527,799.97
其他应收款	36,120,295.58	应付职工薪酬	1,800,067.86
应收关联公司款		应交税费	78,683,323.48
应收利息		应付利息	
应收股利		应付股利	
存货	2,526,322,180.88	其他应付款	73,600,529.44
其中:消耗性生物资产		应付关联公司款	
一年内到期的非流动资产		一年内到期的非流动负债	281,720,000.00
其他流动资产	77,690,717.42	其他流动负债	
流动资产合计	3,287,013,213.81	流动负债合计	1,155,330,302.65
可供出售金融资产	7,007,500.00	长期借款	353,800,000.00
持有至到期投资		应付债券	
长期应收款	437,719,787.76	长期应付款	
长期股权投资	875,129.84	专项应付款	
投资性房地产	44,298,393.31	预计负债	
固定资产	195,353,532.68	递延所得税负债	118,826,421.31
在建工程	109,335,473.19	其他非流动负债	
工程物资		非流动负债合计	491,548,365.75
固定资产清理		负债合计	1,646,878,668.40
生产性生物资产		实收资本(或股本)	506,604,529.00
油气资产		资本公积	1,339,584,380.22
无形资产	134,348,809.47	盈余公积	63,764,180.87
开发支出	2,214,623.77	减:库存股	
商誉	10,365,484.39	未分配利润	527,563,251.74
长期待摊费用	3,256,747.55	少数股东权益	207,590,514.63
递延所得税资产	1,783,503.52	外币报表折算价差	
其他非流动资产	58,413,325.57	非正常经营项目收益调整	
非流动资产合计	1,004,972,311.05	所有者权益(或股东权益)合计	2,645,106,856.46
资产总计	4,291,985,524.86	负债和所有者(或股东权益)合计	4,291,985,524.86
科目	2015年度	科目	2015年度
一、营业收入	921,782,372.69	二、营业利润	65,107,166.66
减:营业成本	731,284,356.64	加:补贴收入	
营业税金及附加	47,597,542.67	营业外收入	33,105,572.39
销售费用	17,331,046.31	减:营业外支出	752,312.34
管理费用	44,331,098.94	其中:非流动资产处置净损失	156,267.59
堪探费用		加:影响利润总额的其他科目	
财务费用	23,511,107.07	三、利润总额	97,460,426.71
资产减值损失	18,503,784.94	减:所得税	25,803,874.80
加:公允价值变动净收益		加:影响净利润的其他科目	
投资收益	25,883,730.54	四、净利润	71,656,551.91
其中:对联营企业和合营企业的投资权益	-932,880.52	归属于母公司所有者的净利润	73,411,041.63
影响营业利润的其他科目		少数股东损益	-1,754,489.72

