科目	2015-12-31	科目	2015-12-31
货币资金	1,132,057,603.25	短期借款	80,000,000.00
交易性金融资产		交易性金融负债	
应收票据		应付票据	
应收账款	1,793,143.15	应付账款	445,188,315.74
预付款项	642,733.04	预收款项	1,459,326,961.94
其他应收款	40,602,788.18	应付职工薪酬	32,190,731.87
应收关联公司款		应交税费	100,709,958.64
应收利息		应付利息	2,681,309.72
应收股利		应付股利	
存货	5,135,715,302.87	其他应付款	64,747,344.54
其中:消耗性生物资产		应付关联公司款	
一年内到期的非流动资产	58,948,750.49	一年内到期的非流动负债	485,000,000.00
其他流动资产	90,667,383.50	其他流动负债	
流动资产合计	6,460,427,704.48	流动负债合计	2,669,844,622.45
可供出售金融资产	92,380,600.00	长期借款	
持有至到期投资		应付债券	
长期应收款	14,435,563.84	长期应付款	
长期股权投资	7,620,140.43	专项应付款	
投资性房地产	68,884,299.46	预计负债	74,022,921.89
固定资产	2,861,465.61	递延所得税负债	11,975,383.82
在建工程		其他非流动负债	
工程物资		非流动负债合计	137,918,277.38
固定资产清理		负债合计	2,807,762,899.83
生产性生物资产		实收资本(或股本)	806,158,748.00
油气资产		资本公积	191,264,874.48
无形资产	1,072,731.93	盈余公积	825,713,378.17
开发支出		减:库存股	
商誉		未分配利润	1,850,602,574.00
长期待摊费用		少数股东权益	232,058,299.50
递延所得税资产	101,687,950.42	外币报表折算价差	
其他非流动资产		非正常经营项目收益调整	
非流动资产合计	288,942,751.69	所有者权益(或股东权益)合计	3,941,607,556.34
资产总计	6,749,370,456.17	负债和所有者(或股东权益)合计	6,749,370,456.17
科目	2015年度	科目	2015年度
一、营业收入	2,437,645,223.67	二、营业利润	324,855,123.87
减:营业成本	1,776,921,276.84	加:补贴收入	
营业税金及附加	165,257,096.32	营业外收入	28,805,777.28
销售费用	49,328,006.39	减:营业外支出	801,923.63
管理费用	66,518,729.46	其中:非流动资产处置净损失	18,600.67
堪探费用		加:影响利润总额的其他科目	
财务费用	14,941,921.52	三、利润总额	352,858,977.52
资产减值损失	42,805,035.08	减:所得税	89,225,004.97
加:公允价值变动净收益		加:影响净利润的其他科目	
投资收益	2,981,965.81	四、净利润	263,633,972.55
其中:对联营企业和合营企业的投资权益	104,413.98	归属于母公司所有者的净利润	211,472,493.80
影响营业利润的其他科目		少数股东损益	52,161,478.75

