科目	2015-12-31	科目	2015-12-31
货币资金	1,934,062,420.91	短期借款	260,000,000.00
交易性金融资产		交易性金融负债	
应收票据		应付票据	12,510,000.00
应收账款	20,736,698.54	应付账款	1,530,440,375.88
预付款项	955,521,102.47	预收款项	2,143,947,916.00
其他应收款	69,307,465.10	应付职工薪酬	70,482,610.02
应收关联公司款		应交税费	136,841,725.80
应收利息		应付利息	113,606,698.24
应收股利		应付股利	5,125,944.47
存货	13,405,993,941.67	其他应付款	804,856,437.26
其中:消耗性生物资产		应付关联公司款	
一年内到期的非流动资产		一年内到期的非流动负债	2,628,746,000.00
其他流动资产	247,459,642.63	其他流动负债	
流动资产合计	16,633,081,271.32	流动负债合计	7,706,557,707.67
可供出售金融资产		长期借款	3,729,940,000.00
持有至到期投资	211,615,834.12	应付债券	2,970,225,771.88
长期应收款		长期应付款	200,000,000.00
长期股权投资	59,456,726.84	专项应付款	
投资性房地产		预计负债	
固定资产	113,771,015.30	递延所得税负债	
在建工程		其他非流动负债	
工程物资		非流动负债合计	6,900,710,384.38
固定资产清理		负债合计	14,607,268,092.05
生产性生物资产		实收资本(或股本)	864,122,521.00
油气资产		资本公积	201,093,446.62
无形资产	2,610,217.66	盈余公积	308,214,627.44
开发支出		减:库存股	
商誉		未分配利润	1,325,936,980.58
长期待摊费用	3,058,450.14	少数股东权益	38,351,529.04
递延所得税资产	321,393,681.35	外币报表折算价差	
其他非流动资产		非正常经营项目收益调整	
非流动资产合计	711,905,925.41	所有者权益(或股东权益)合计	2,737,719,104.68
资产总计	17,344,987,196.73	负债和所有者(或股东权益)合计	17,344,987,196.73
科目	2015年度	科目	2015年度
一、营业收入	2,974,534,931.64	二、营业利润	205,069,161.42
减:营业成本	2,232,387,165.07	加:补贴收入	
营业税金及附加	249,741,417.49	营业外收入	77,478,904.36
销售费用	129,086,779.94	减:营业外支出	7,622,700.42
管理费用	91,560,729.04	其中:非流动资产处置净损失	1,419,078.21
堪探费用		加:影响利润总额的其他科目	
财务费用	12,808,370.93	三、利润总额	274,925,365.36
资产减值损失	54,005,669.96	减:所得税	71,634,309.34
加:公允价值变动净收益		加:影响净利润的其他科目	
投资收益	124,362.21	四、净利润	203,291,056.02
其中:对联营企业和合营企业的投资权益	8,528.09	归属于母公司所有者的净利润	206,918,168.29
影响营业利润的其他科目		少数股东损益	-3,627,112.27

