科目	2015-12-31	科目	2015-12-31
货币资金	811,988,042.28	短期借款	30,000,000.00
交易性金融资产		交易性金融负债	
应收票据		应付票据	50,000,000.00
应收账款	240,539,675.60	应付账款	1,804,416,082.61
预付款项	1,934,380,026.92	预收款项	1,739,067,335.98
其他应收款	226,977,196.48	应付职工薪酬	24,761,737.53
应收关联公司款		应交税费	154,118,141.92
应收利息		应付利息	13,717,113.85
应收股利		应付股利	
存货	12,872,153,897.01	其他应付款	2,435,966,658.51
其中:消耗性生物资产		应付关联公司款	
一年内到期的非流动资产		一年内到期的非流动负债	1,384,900,000.00
其他流动资产	127,283,794.26	其他流动负债	
流动资产合计	16,213,322,632.55	流动负债合计	7,636,947,070.40
可供出售金融资产	1,500,000.00	长期借款	3,737,000,000.00
持有至到期投资		应付债券	
长期应收款	72,382,973.19	长期应付款	
长期股权投资		专项应付款	
投资性房地产	754,182,409.93	预计负债	
固定资产	367,457,184.27	递延所得税负债	
在建工程		其他非流动负债	8,610,911.50
工程物资		非流动负债合计	3,745,610,911.50
固定资产清理		负债合计	11,382,557,981.90
生产性生物资产		实收资本(或股本)	2,559,592,332.00
油气资产		资本公积	1,547,422,615.90
无形资产	6,914,541.88	盈余公积	250,311,267.62
开发支出		减:库存股	
商誉	3,721,279.31	未分配利润	1,521,481,546.91
长期待摊费用	1,482,944.62	少数股东权益	193,291,795.37
递延所得税资产	33,693,573.95	外币报表折算价差	
其他非流动资产		非正常经营项目收益调整	
非流动资产合计	1,241,334,907.15	所有者权益(或股东权益)合计	6,072,099,557.80
资产总计	17,454,657,539.70	负债和所有者(或股东权益)合计	17,454,657,539.70
科目	2015年度	科目	2015年度
一、营业收入	4,678,805,867.25	二、营业利润	588,228,264.67
减:营业成本	3,331,564,001.96	加:补贴收入	
营业税金及附加	395,725,962.42	营业外收入	4,270,001.54
销售费用	76,626,682.85	减:营业外支出	8,604,389.08
管理费用	139,523,880.55	其中:非流动资产处置净损失	3,453,550.09
堪探费用		加:影响利润总额的其他科目	
财务费用	86,293,917.09	三、利润总额	583,893,877.13
资产减值损失	60,843,157.71	减:所得税	159,087,169.02
加:公允价值变动净收益		加:影响净利润的其他科目	
投资收益		四、净利润	424,806,708.11
其中:对联营企业和合营企业的投资权益		归属于母公司所有者的净利润	428,181,075.21
影响营业利润的其他科目		少数股东损益	-3,374,367.10

