科目	2015-12-31	科目	2015-12-31
货币资金	597,668,990.37	短期借款	281,000,000.00
交易性金融资产		交易性金融负债	
应收票据		应付票据	25,000,000.00
应收账款	30,711,078.04	应付账款	13,259,295.26
预付款项	181,140,397.93	预收款项	971,961,187.40
其他应收款	51,956,476.76	应付职工薪酬	9,205,026.03
应收关联公司款		应交税费	23,536,244.43
应收利息		应付利息	2,705,416.86
应收股利		应付股利	1,035,734.28
存货	1,085,697,750.67	其他应付款	207,113,279.63
其中:消耗性生物资产		应付关联公司款	
一年内到期的非流动资产		一年内到期的非流动负债	315,000,000.00
其他流动资产	51,236,120.11	其他流动负债	
流动资产合计	1,998,410,813.88	流动负债合计	1,849,816,183.89
可供出售金融资产	49,602,312.71	长期借款	8,230,000.00
持有至到期投资	77,000,000.00	应付债券	
长期应收款		长期应付款	
长期股权投资	33,759,250.67	专项应付款	
投资性房地产	266,398,675.47	预计负债	
固定资产	43,296,822.11	递延所得税负债	
在建工程		其他非流动负债	
工程物资		非流动负债合计	8,898,700.00
固定资产清理		负债合计	1,858,714,883.89
生产性生物资产		实收资本(或股本)	351,764,064.00
油气资产		资本公积	61,232,004.20
无形资产	11,537,576.15	盈余公积	52,773,857.36
开发支出		减:库存股	
商誉	19,641,012.81	未分配利润	121,138,763.73
长期待摊费用	2,825,965.52	少数股东权益	68,166,009.70
递延所得税资产	11,317,153.56	外币报表折算价差	
其他非流动资产		非正常经营项目收益调整	
非流动资产合计	515,378,769.00	所有者权益(或股东权益)合计	655,074,698.99
资产总计	2,513,789,582.88	负债和所有者(或股东权益)合计	2,513,789,582.88
科目	2015年度	科目	2015年度
一、营业收入	522,859,507.69	二、营业利润	55,288,697.04
减:营业成本	437,167,346.45	加:补贴收入	
营业税金及附加	-67,650,490.44	营业外收入	19,927,995.34
销售费用	11,138,597.67	减:营业外支出	1,226,839.24
管理费用	43,188,736.72	其中:非流动资产处置净损失	91,012.08
堪探费用		加:影响利润总额的其他科目	
财务费用	39,914,786.96	三、利润总额	73,989,853.14
资产减值损失	6,620,034.98	减:所得税	14,271,080.38
加:公允价值变动净收益		加:影响净利润的其他科目	
投资收益	2,808,201.69	四、净利润	59,718,772.76
其中:对联营企业和合营企业的投资权益	-2,588,722.34	归属于母公司所有者的净利润	41,224,215.20
影响营业利润的其他科目		少数股东损益	18,494,557.56

