科目	2015-12-31	科目	2015-12-31
货币资金	79,699,129.07	短期借款	
交易性金融资产		交易性金融负债	
应收票据		应付票据	
应收账款	1,503,792.40	应付账款	22,127,778.14
预付款项	9,754,177.08	预收款项	38,000,047.10
其他应收款	23,310,838.18	应付职工薪酬	3,972,372.95
应收关联公司款		应交税费	29,125,617.12
应收利息		应付利息	3,778,055.57
应收股利	7,117,877.10	应付股利	
存货	1,278,483,182.12	其他应付款	57,293,195.50
其中:消耗性生物资产		应付关联公司款	
一年内到期的非流动资产		一年内到期的非流动负债	451,697,514.64
其他流动资产		其他流动负债	
流动资产合计	1,399,868,995.95	流动负债合计	605,994,581.02
可供出售金融资产	14,844,134.00	长期借款	107,135,885.36
持有至到期投资		应付债券	
长期应收款		长期应付款	
长期股权投资		专项应付款	
投资性房地产	14,489,415.61	预计负债	
固定资产	4,666,865.84	递延所得税负债	
在建工程		其他非流动负债	
工程物资		非流动负债合计	107,135,885.36
固定资产清理		负债合计	713,130,466.38
生产性生物资产		实收资本(或股本)	146,841,890.00
油气资产		资本公积	80,465,680.08
无形资产	18,347.21	盈余公积	111,560,121.09
开发支出		减:库存股	
商誉		未分配利润	309,278,360.37
长期待摊费用	1,065,263.31	少数股东权益	79,952,360.96
递延所得税资产	4,275,856.96	外币报表折算价差	
其他非流动资产	2,000,000.00	非正常经营项目收益调整	
非流动资产合计	41,359,882.93	所有者权益(或股东权益)合计	728,098,412.50
资产总计	1,441,228,878.88	负债和所有者(或股东权益)合计	1,441,228,878.88
科目	2015年度	科目	2015年度
一、营业收入	106,620,701.16	二、营业利润	14,950,049.69
减:营业成本	28,522,023.32	加:补贴收入	
营业税金及附加	20,705,335.07	营业外收入	24,756,912.98
销售费用	3,040,564.37	减:营业外支出	872,283.62
管理费用	32,298,702.72	其中:非流动资产处置净损失	
堪探费用		加:影响利润总额的其他科目	
财务费用	18,637,950.78	三、利润总额	38,834,679.05
资产减值损失	-156,569.01	减:所得税	9,701,883.42
加:公允价值变动净收益		加:影响净利润的其他科目	
投资收益	11,377,355.78	四、净利润	29,132,795.63
其中:对联营企业和合营企业的投资权益		归属于母公司所有者的净利润	25,491,939.58
影响营业利润的其他科目		少数股东损益	3,640,856.05

