科目	2015-12-31	科目	2015-12-31
货币资金	1,221,620,004.22	短期借款	1,100,000,000.00
交易性金融资产		交易性金融负债	
应收票据		应付票据	
应收账款	430,486,145.01	应付账款	537,581,378.96
预付款项	4,614,836.55	预收款项	18,066,338.37
其他应收款	232,671,984.81	应付职工薪酬	3,406,948.72
应收关联公司款		应交税费	160,619,077.08
应收利息		应付利息	5,685,380.56
应收股利	24,878.40	应付股利	
存货	3,533,850,556.19	其他应付款	706,547,733.36
其中:消耗性生物资产		应付关联公司款	
一年内到期的非流动资产		一年内到期的非流动负债	88,000,000.00
其他流动资产		其他流动负债	
流动资产合计	5,423,268,405.18	流动负债合计	2,619,906,857.05
可供出售金融资产	110,607,824.03	长期借款	1,699,640,940.51
持有至到期投资		应付债券	893,296,750.00
长期应收款		长期应付款	
长期股权投资	618,305,100.74	专项应付款	
投资性房地产	2,463,297,202.87	预计负债	
固定资产	151,028,988.24	递延所得税负债	
在建工程	249,700.00	其他非流动负债	
工程物资		非流动负债合计	2,602,875,766.52
固定资产清理		负债合计	5,222,782,623.57
生产性生物资产		实收资本(或股本)	760,297,079.00
油气资产		资本公积	1,542,434,531.19
无形资产	191,736.20	盈余公积	25,148,020.69
开发支出		减:库存股	
商誉		未分配利润	558,410,641.12
长期待摊费用	26,865,264.38	少数股东权益	696,488,898.12
递延所得税资产	11,747,572.05	外币报表折算价差	
其他非流动资产		非正常经营项目收益调整	
非流动资产合计	3,382,293,388.51	所有者权益(或股东权益)合计	3,582,779,170.12
资产总计	8,805,561,793.69	负债和所有者(或股东权益)合计	8,805,561,793.69
科目	2015年度	科目	2015年度
一、营业收入	991,195,990.94	二、营业利润	168,655,263.13
减:营业成本	599,111,717.96	加:补贴收入	
营业税金及附加	120,001,117.95	营业外收入	2,582,407.09
销售费用	3,632,178.58	减:营业外支出	157,022.23
管理费用	54,237,432.85	其中:非流动资产处置净损失	23,281.80
堪探费用		加:影响利润总额的其他科目	
财务费用	69,880,475.05	三、利润总额	171,080,647.99
资产减值损失	13,146.98	减:所得税	53,360,594.36
加:公允价值变动净收益		加:影响净利润的其他科目	
投资收益	24,335,341.56	四、净利润	117,720,053.63
其中:对联营企业和合营企业的投资权益	22,740,463.16	归属于母公司所有者的净利润	131,660,652.76
影响营业利润的其他科目		少数股东损益	-13,940,599.13

