科目	2015-12-31	科目	2015-12-31
货币资金	105,375,583.85	短期借款	150,000,000.00
交易性金融资产		交易性金融负债	
应收票据		应付票据	
应收账款	4,645,645.71	应付账款	240,352,200.46
预付款项	9,196,803.53	预收款项	101,464,443.21
其他应收款	11,494,368.41	应付职工薪酬	21,683,068.67
应收关联公司款		应交税费	41,304,393.83
应收利息		应付利息	14,417,708.34
应收股利		应付股利	
存货	1,810,569,389.87	其他应付款	108,356,163.14
其中:消耗性生物资产		应付关联公司款	
一年内到期的非流动资产		一年内到期的非流动负债	45,000,000.00
其他流动资产	39,846,808.98	其他流动负债	
流动资产合计	1,981,128,600.35	流动负债合计	722,577,977.65
可供出售金融资产		长期借款	675,000,000.00
持有至到期投资		应付债券	
长期应收款		长期应付款	
长期股权投资		专项应付款	
投资性房地产	96,960,838.97	预计负债	
固定资产	20,561,099.54	递延所得税负债	
在建工程		其他非流动负债	
工程物资		非流动负债合计	675,000,000.00
固定资产清理		负债合计	1,397,577,977.65
生产性生物资产		实收资本(或股本)	201,705,187.00
油气资产		资本公积	9,965,893.97
无形资产	701,991.59	盈余公积	202,791,939.10
开发支出		减:库存股	
商誉		未分配利润	300,610,719.78
长期待摊费用	8,232,437.16	少数股东权益	57,863,275.53
递延所得税资产	62,930,025.42	外币报表折算价差	
其他非流动资产		非正常经营项目收益调整	
非流动资产合计	189,386,392.68	所有者权益(或股东权益)合计	772,937,015.38
资产总计	2,170,514,993.03	负债和所有者(或股东权益)合计	2,170,514,993.03
科目	2015年度	科目	2015年度
一、营业收入	413,213,720.92	二、营业利润	51,889,412.13
减:营业成本	237,187,952.66	加:补贴收入	
营业税金及附加	39,771,224.02	营业外收入	20,174,771.50
销售费用	17,103,908.89	减:营业外支出	72,183.03
管理费用	63,829,173.28	其中:非流动资产处置净损失	
堪探费用		加:影响利润总额的其他科目	
财务费用	5,897,129.70	三、利润总额	71,992,000.60
资产减值损失	-1,865,170.57	减:所得税	18,581,243.23
加:公允价值变动净收益	-859,880.25	加:影响净利润的其他科目	
投资收益	1,459,789.44	四、净利润	53,410,757.37
其中:对联营企业和合营企业的投资权益		归属于母公司所有者的净利润	52,963,507.19
影响营业利润的其他科目		少数股东损益	447,250.18

