科目	2015-12-31	科目	2015-12-31
货币资金	2,276,125,495.40	短期借款	625,000,000.00
交易性金融资产		交易性金融负债	
应收票据		应付票据	
应收账款	316,526,730.19	应付账款	1,585,464,235.64
预付款项	1,039,467,379.72	预收款项	4,072,688,271.98
其他应收款	716,605,110.64	应付职工薪酬	54,898,786.65
应收关联公司款		应交税费	532,625,885.19
应收利息	69,708,811.72	应付利息	166,267,215.89
应收股利		应付股利	
存货	16,285,042,273.23	其他应付款	1,510,938,047.26
其中:消耗性生物资产		应付关联公司款	
一年内到期的非流动资产		一年内到期的非流动负债	3,243,937,800.00
其他流动资产	499,321,344.84	其他流动负债	253,054,285.41
流动资产合计	21,202,797,145.74	流动负债合计	12,044,874,528.02
可供出售金融资产	389,178,300.00	长期借款	6,944,600,000.00
持有至到期投资		应付债券	295,282,102.61
长期应收款	72,022,000.00	长期应付款	5,647,760.56
长期股权投资	96,279,257.77	专项应付款	
投资性房地产	1,313,423,388.11	预计负债	1,845,598.80
固定资产	1,219,943,194.78	递延所得税负债	
在建工程		其他非流动负债	
工程物资		非流动负债合计	7,247,375,461.97
固定资产清理		负债合计	19,292,249,989.99
生产性生物资产		实收资本(或股本)	474,208,390.00
油气资产		资本公积	587,395,827.59
无形资产	28,436,982.72	盈余公积	173,517,167.24
开发支出		减:库存股	
商誉		未分配利润	3,924,449,490.36
长期待摊费用	260,208.33	少数股东权益	264,209,589.58
递延所得税资产	302,856,552.17	外币报表折算价差	
其他非流动资产	90,783,000.00	非正常经营项目收益调整	
非流动资产合计	3,513,182,883.88	所有者权益(或股东权益)合计	5,423,730,039.63
资产总计	24,715,980,029.62	负债和所有者(或股东权益)合计	24,715,980,029.62
科目	2015年度	科目	2015年度
一、营业收入	8,459,460,367.77	二、营业利润	640,878,283.82
减:营业成本	6,593,025,193.52	加:补贴收入	
营业税金及附加	698,769,213.98	营业外收入	33,412,531.08
销售费用	198,010,472.66	减:营业外支出	13,585,575.01
管理费用	314,790,777.56	其中:非流动资产处置净损失	26,510.25
堪探费用		加:影响利润总额的其他科目	
财务费用	69,714,913.60	三、利润总额	660,705,239.89
资产减值损失	226,157,583.26	减:所得税	225,541,750.03
加:公允价值变动净收益		加:影响净利润的其他科目	
投资收益	281,886,070.63	四、净利润	435,163,489.86
其中:对联营企业和合营企业的投资权益	3,158,587.33	归属于母公司所有者的净利润	527,117,066.56
影响营业利润的其他科目		少数股东损益	-91,953,576.70

