科目	2015-12-31	科目	2015-12-31
货币资金	886,042,656.50	短期借款	400,000,000.00
交易性金融资产		交易性金融负债	
应收票据		应付票据	
应收账款	8,042,273.35	应付账款	50,661,212.57
预付款项	75,370,719.32	预收款项	1,152,947,790.90
其他应收款	100,901,079.59	应付职工薪酬	523,371.47
应收关联公司款		应交税费	92,924,095.30
应收利息		应付利息	7,377,777.78
应收股利		应付股利	
存货	2,714,478,667.52	其他应付款	59,066,440.48
其中:消耗性生物资产		应付关联公司款	
一年内到期的非流动资产		一年内到期的非流动负债	
其他流动资产	63,550,575.65	其他流动负债	
流动资产合计	3,848,385,971.93	流动负债合计	1,763,500,688.50
可供出售金融资产	800,000,000.00	长期借款	
持有至到期投资		应付债券	
长期应收款		长期应付款	
长期股权投资	664,355,735.78	专项应付款	
投资性房地产	72,397,439.09	预计负债	
固定资产	5,537,299.13	递延所得税负债	
在建工程	863,494.51	其他非流动负债	
工程物资		非流动负债合计	
固定资产清理		负债合计	1,763,500,688.50
生产性生物资产		实收资本(或股本)	1,602,290,000.00
油气资产		资本公积	1,199,000,968.47
无形资产	4,882,100.28	盈余公积	192,086,499.77
开发支出	16,410,623.37	减:库存股	
商誉		未分配利润	633,814,405.61
长期待摊费用	154,632.43	少数股东权益	26,795,542.74
递延所得税资产	4,500,808.57	外币报表折算价差	
其他非流动资产		非正常经营项目收益调整	
非流动资产合计	1,569,102,133.16	所有者权益(或股东权益)合计	3,653,987,416.59
资产总计	5,417,488,105.09	负债和所有者(或股东权益)合计	5,417,488,105.09
科目	2015年度	科目	2015年度
一、营业收入	430,229,229.71	二、营业利润	36,758,848.24
减:营业成本	329,723,042.65	加:补贴收入	
营业税金及附加	34,751,477.93	营业外收入	5,265,303.02
销售费用	8,017,020.84	减:营业外支出	1,397,286.77
管理费用	38,704,971.29	其中:非流动资产处置净损失	66,585.70
堪探费用		加:影响利润总额的其他科目	
财务费用	10,261,831.54	三、利润总额	40,626,864.49
资产减值损失	20,929,236.72	减:所得税	22,575,081.68
加:公允价值变动净收益		加:影响净利润的其他科目	
投资收益	48,917,199.50	四、净利润	18,051,782.81
其中:对联营企业和合营企业的投资权益	41,355,735.78	归属于母公司所有者的净利润	21,256,240.07
影响营业利润的其他科目		少数股东损益	-3,204,457.26

