科目	2015-12-31	科目	2015-12-31
货币资金	3,575,247,517.07	短期借款	
交易性金融资产		交易性金融负债	
应收票据		应付票据	
应收账款	77,692,822.95	应付账款	1,345,396,318.30
预付款项	244,883,945.00	预收款项	17,599,349,003.50
其他应收款	3,360,805,530.86	应付职工薪酬	91,667,772.97
应收关联公司款		应交税费	911,917,158.53
应收利息		应付利息	17,029,920.82
应收股利		应付股利	
存货	30,534,731,542.18	其他应付款	4,949,718,741.97
其中:消耗性生物资产		应付关联公司款	
一年内到期的非流动资产		一年内到期的非流动负债	177,520,000.00
其他流动资产	1,097,610,606.34	其他流动负债	
流动资产合计	38,890,971,964.40	流动负债合计	25,092,598,916.09
可供出售金融资产	589,616,000.00	长期借款	5,302,000,000.00
持有至到期投资		应付债券	900,000,000.00
长期应收款		长期应付款	
长期股权投资		专项应付款	
投资性房地产	1,945,119,538.78	预计负债	
固定资产	300,724,049.30	递延所得税负债	
在建工程	676,919.79	其他非流动负债	
工程物资		非流动负债合计	6,202,259,145.93
固定资产清理		负债合计	31,294,858,062.02
生产性生物资产		实收资本(或股本)	2,704,000,000.00
油气资产		资本公积	24,022,846.55
无形资产	121,440,263.93	盈余公积	697,356,087.56
开发支出		减:库存股	
商誉	593,092.34	未分配利润	5,335,442,661.61
长期待摊费用	530,450.00	少数股东权益	2,170,568,745.83
递延所得税资产	380,545,280.19	外币报表折算价差	
其他非流动资产		非正常经营项目收益调整	
非流动资产合计	3,339,245,594.33	所有者权益(或股东权益)合计	10,935,359,496.71
资产总计	42,230,217,558.73	负债和所有者(或股东权益)合计	42,230,217,558.73
科目	2015年度	科目	2015年度
一、营业收入	12,617,555,197.08	二、营业利润	2,066,427,805.41
减:营业成本	8,545,667,659.42	加:补贴收入	
营业税金及附加	1,291,743,080.01	营业外收入	29,069,178.25
销售费用	120,119,521.46	减:营业外支出	23,852,202.58
管理费用	257,863,128.62	其中:非流动资产处置净损失	66,879.65
堪探费用		加:影响利润总额的其他科目	
财务费用	167,942,771.19	三、利润总额	2,071,644,781.08
资产减值损失	168,665,363.29	减:所得税	567,788,243.10
加:公允价值变动净收益		加:影响净利润的其他科目	
投资收益	874,132.32	四、净利润	1,503,856,537.98
其中:对联营企业和合营企业的投资权益		归属于母公司所有者的净利润	1,002,862,807.10
影响营业利润的其他科目		少数股东损益	500,993,730.88

