科目	2015-12-31	科目	2015-12-31
货币资金	2,115,682,861.15	短期借款	225,000,000.00
交易性金融资产		交易性金融负债	
应收票据		应付票据	
应收账款	25,052,225.83	应付账款	1,128,312,436.13
预付款项	124,247,542.81	预收款项	5,496,409,585.87
其他应收款	539,496,555.48	应付职工薪酬	61,500,049.62
应收关联公司款		应交税费	308,769,650.33
应收利息		应付利息	64,365,101.62
应收股利		应付股利	2,639,762.78
存货	21,960,580,774.10	其他应付款	644,858,916.06
其中:消耗性生物资产		应付关联公司款	
一年内到期的非流动资产		一年内到期的非流动负债	7,687,661,325.00
其他流动资产	1,544,755,679.87	其他流动负债	
流动资产合计	26,309,815,639.24	流动负债合计	15,619,516,827.41
可供出售金融资产	275,617,459.12	长期借款	8,249,000,000.00
持有至到期投资		应付债券	772,887,657.49
长期应收款		长期应付款	8,163,963.13
长期股权投资	140,903,782.55	专项应付款	
投资性房地产	229,550,778.41	预计负债	39,780,000.00
固定资产	58,144,218.73	递延所得税负债	80,289,748.45
在建工程		其他非流动负债	
工程物资		非流动负债合计	9,150,121,369.07
固定资产清理		负债合计	24,769,638,196.48
生产性生物资产		实收资本(或股本)	740,777,597.00
油气资产		资本公积	327,781,373.79
无形资产	4,644,431.80	盈余公积	108,451,978.08
开发支出		减:库存股	
商誉	11,603,740.50	未分配利润	806,618,142.60
长期待摊费用	12,413,019.62	少数股东权益	823,181,712.50
递延所得税资产	211,257,957.12	外币报表折算价差	
其他非流动资产	322,497,973.36	非正常经营项目收益调整	
非流动资产合计	1,266,633,361.21	所有者权益(或股东权益)合计	2,806,810,803.97
资产总计	27,576,449,000.45	负债和所有者(或股东权益)合计	27,576,449,000.45
科目	2015年度	科目	2015年度
一、营业收入	8,436,076,254.04	二、营业利润	977,112,591.37
减:营业成本	6,257,013,303.22	加:补贴收入	
营业税金及附加	582,297,195.41	营业外收入	1,129,346.30
销售费用	158,073,963.14	减:营业外支出	954,298.10
管理费用	131,483,193.04	其中:非流动资产处置净损失	38,607.87
堪探费用		加:影响利润总额的其他科目	
财务费用	129,086,651.59	三、利润总额	977,287,639.57
资产减值损失	223,842,992.93	减:所得税	361,567,065.33
加:公允价值变动净收益		加:影响净利润的其他科目	
投资收益	22,833,636.66	四、净利润	615,720,574.24
其中:对联营企业和合营企业的投资权益	17,207,345.62	归属于母公司所有者的净利润	115,387,113.86
影响营业利润的其他科目		少数股东损益	500,333,460.38

