科目	2015-12-31	科目	2015-12-31
货币资金	6,286,850,360.41	短期借款	3,680,500,000.00
交易性金融资产	5,447,565.33	交易性金融负债	
应收票据	135,617,371.10	应付票据	3,793,050,799.48
应收账款	6,047,370,989.94	应付账款	5,065,061,746.16
预付款项	3,995,492,616.83	预收款项	35,327,166,366.43
其他应收款	4,668,238,630.44	应付职工薪酬	944,167,158.87
应收关联公司款		应交税费	2,535,972,221.64
应收利息		应付利息	281,027,074.60
应收股利		应付股利	79,147,518.52
存货	65,266,584,183.48	其他应付款	3,402,400,722.05
其中:消耗性生物资产		应付关联公司款	
一年内到期的非流动资产		一年内到期的非流动负债	5,008,094,793.93
其他流动资产	1,473,271,083.41	其他流动负债	1,936,599,491.19
流动资产合计	87,878,872,800.94	流动负债合计	62,053,187,892.87
可供出售金融资产	51,000,000.00	长期借款	10,138,140,000.00
持有至到期投资		应付债券	10,007,758,422.38
长期应收款	11,500,000.00	长期应付款	750,660,553.56
长期股权投资	439,500,629.74	专项应付款	
投资性房地产	1,257,072,879.35	预计负债	
固定资产	2,124,600,846.90	递延所得税负债	
在建工程	118,450,028.14	其他非流动负债	
工程物资		非流动负债合计	20,958,284,307.46
固定资产清理		负债合计	83,011,472,200.33
生产性生物资产		实收资本(或股本)	1,167,839,226.00
油气资产		资本公积	1,046,650,340.63
无形资产	561,419,595.41	盈余公积	258,435,813.64
开发支出		减:库存股	
商誉	4,188,653.58	未分配利润	6,566,448,526.67
长期待摊费用	2,700,556,695.78	少数股东权益	4,176,020,509.89
递延所得税资产	770,697,374.18	外币报表折算价差	
其他非流动资产	308,341,173.22	非正常经营项目收益调整	
非流动资产合计	8,347,327,876.30	所有者权益(或股东权益)合计	13,214,728,476.91
资产总计	96,226,200,677.24	负债和所有者(或股东权益)合计	96,226,200,677.24
科目	2015年度	科目	2015年度
一、营业收入	20,449,655,222.12	二、营业利润	554,108,574.99
减:营业成本	16,035,791,306.99	加:补贴收入	
营业税金及附加	1,405,042,835.98	营业外收入	202,536,811.49
销售费用	526,332,313.03	减:营业外支出	128,212,165.01
管理费用	1,460,697,943.97	其中:非流动资产处置净损失	4,315,773.99
堪探费用		加:影响利润总额的其他科目	
财务费用	387,481,255.71	三、利润总额	628,433,221.47
资产减值损失	110,570,671.51	减:所得税	186,955,151.69
加:公允价值变动净收益	1,687,992.78	加:影响净利润的其他科目	
投资收益	28,681,687.28	四、净利润	441,478,069.78
其中:对联营企业和合营企业的投资权益	-5,533,277.81	归属于母公司所有者的净利润	351,339,698.00
影响营业利润的其他科目		少数股东损益	90,138,371.78

