科目	2015-12-31	科目	2015-12-31
货币资金	1,881,543,995.17	短期借款	1,640,344,000.00
交易性金融资产	47,428,334.34	交易性金融负债	
应收票据		应付票据	441,718.75
应收账款	515,202,634.74	应付账款	665,001,864.78
预付款项	29,808,496.98	预收款项	780,808,845.71
其他应收款	432,335,458.39	应付职工薪酬	22,604,393.54
应收关联公司款		应交税费	198,800,441.76
应收利息		应付利息	3,296,915.96
应收股利	7,492,405.74	应付股利	
存货	4,891,910,210.70	其他应付款	1,834,926,921.73
其中:消耗性生物资产		应付关联公司款	
一年内到期的非流动资产		一年内到期的非流动负债	422,000,000.00
其他流动资产	856,329,927.15	其他流动负债	1,005,416,666.66
流动资产合计	8,662,051,463.21	流动负债合计	6,573,641,768.89
可供出售金融资产	1,571,136,034.79	长期借款	731,678,919.04
持有至到期投资		应付债券	2,942,095,625.08
长期应收款		长期应付款	
长期股权投资	2,417,282,110.70	专项应付款	
投资性房地产	4,978,548,840.66	预计负债	56,235,465.82
固定资产	384,050,622.84	递延所得税负债	299,773,937.15
在建工程		其他非流动负债	
工程物资		非流动负债合计	4,034,783,947.09
固定资产清理		负债合计	10,608,425,715.98
生产性生物资产		实收资本(或股本)	1,548,689,550.00
油气资产		资本公积	2,646,974,056.89
无形资产	5,954,602.64	盈余公积	499,431,303.20
开发支出		减:库存股	
商誉		未分配利润	2,510,887,363.94
长期待摊费用	3,539,378.82	少数股东权益	360,387,056.29
递延所得税资产	419,226,142.60	外币报表折算价差	
其他非流动资产	88,800,000.00	非正常经营项目收益调整	
非流动资产合计	9,868,537,733.05	所有者权益(或股东权益)合计	7,922,163,480.28
资产总计	18,530,589,196.26	负债和所有者(或股东权益)合计	18,530,589,196.26
科目	2015年度	科目	2015年度
一、营业收入	2,419,169,795.29	二、营业利润	599,035,238.87
减:营业成本	1,657,974,978.67	加:补贴收入	
营业税金及附加	385,171,676.60	营业外收入	5,535,817.99
销售费用	62,413,425.74	减:营业外支出	37,226,730.12
管理费用	107,072,032.41	其中:非流动资产处置净损失	75.33
堪探费用		加:影响利润总额的其他科目	
财务费用	393,528,910.23	三、利润总额	567,344,326.74
资产减值损失	-103,803,553.87	减:所得税	77,498,653.08
加:公允价值变动净收益	10,158,426.63	加:影响净利润的其他科目	
投资收益	672,064,486.73	四、净利润	489,845,673.66
其中:对联营企业和合营企业的投资权益	239,801,588.16	归属于母公司所有者的净利润	481,608,305.84
影响营业利润的其他科目		少数股东损益	8,237,367.82

