科目	2015-12-31	科目	2015-12-31
货币资金	8,963,667,089.75	短期借款	9,185,880,000.00
交易性金融资产		交易性金融负债	
应收票据		应付票据	
应收账款	1,883,425.84	应付账款	2,570,350,377.50
预付款项	3,700,464,933.39	预收款项	7,786,611,363.02
其他应收款	224,948,789.79	应付职工薪酬	20,743,323.17
应收关联公司款		应交税费	507,268,765.68
应收利息		应付利息	41,613,583.17
应收股利		应付股利	
存货	69,608,403,315.80	其他应付款	4,292,219,545.15
其中:消耗性生物资产		应付关联公司款	
一年内到期的非流动资产		一年内到期的非流动负债	9,559,830,000.00
其他流动资产	3,207,320,834.32	其他流动负债	
流动资产合计	85,706,688,388.89	流动负债合计	33,964,516,957.69
可供出售金融资产	7,537,175.88	长期借款	33,870,632,353.54
持有至到期投资		应付债券	4,770,151,222.22
长期应收款		长期应付款	
长期股权投资	2,356,107,497.88	专项应付款	
投资性房地产	2,350,648,083.26	预计负债	
固定资产	676,587,811.49	递延所得税负债	37,713,812.13
在建工程		其他非流动负债	
工程物资		非流动负债合计	38,701,818,382.15
固定资产清理		负债合计	72,666,335,339.84
生产性生物资产		实收资本(或股本)	1,169,045,620.00
油气资产		资本公积	5,476,050,396.59
无形资产	62,092,472.78	盈余公积	274,445,881.53
开发支出		减:库存股	
商誉		未分配利润	4,784,783,945.61
长期待摊费用	81,425,967.85	少数股东权益	7,248,675,644.48
递延所得税资产	308,789,105.43	外币报表折算价差	
其他非流动资产	86,200,000.00	非正常经营项目收益调整	
非流动资产合计	5,929,388,114.57	所有者权益(或股东权益)合计	18,969,741,163.62
资产总计	91,636,076,503.46	负债和所有者(或股东权益)合计	91,636,076,503.46
科目	2015年度	科目	2015年度
一、营业收入	8,342,339,136.29	二、营业利润	978,295,431.27
减:营业成本	5,875,303,016.34	加:补贴收入	
营业税金及附加	872,906,668.91	营业外收入	16,484,192.58
销售费用	305,576,005.97	减:营业外支出	21,855,018.12
管理费用	368,096,658.69	其中:非流动资产处置净损失	1,641,418.71
堪探费用		加:影响利润总额的其他科目	
财务费用	42,646,963.79	三、利润总额	972,924,605.73
资产减值损失	32,324,891.93	减:所得税	284,137,762.16
加:公允价值变动净收益	7,833,979.99	加:影响净利润的其他科目	
投资收益	124,976,520.62	四、净利润	688,786,843.57
其中:对联营企业和合营企业的投资权益	7,009,828.40	归属于母公司所有者的净利润	708,014,186.78
影响营业利润的其他科目		少数股东损益	-19,227,343.21

