科目	2015-12-31	科目	2015-12-31
货币资金	1,871,371,145.81	短期借款	3,223,344,240.00
交易性金融资产		交易性金融负债	
应收票据	913,547.50	应付票据	46,000,000.00
应收账款	760,800,624.44	应付账款	492,516,609.61
预付款项	363,095,418.28	预收款项	873,523,355.53
其他应收款	152,809,094.92	应付职工薪酬	62,854,980.09
应收关联公司款		应交税费	215,075,357.22
应收利息		应付利息	17,448,255.66
应收股利	1,054,194.88	应付股利	893,143.68
存货	5,766,410,586.43	其他应付款	492,966,499.12
其中:消耗性生物资产		应付关联公司款	
一年内到期的非流动资产	6,895,476.83	一年内到期的非流动负债	510,665,600.00
其他流动资产	174,125,680.07	其他流动负债	
流动资产合计	9,097,475,769.16	流动负债合计	5,935,288,040.91
可供出售金融资产	237,019,600.00	长期借款	2,136,028,539.47
持有至到期投资		应付债券	487,116,732.43
长期应收款		长期应付款	12,275.48
长期股权投资	51,004,517.88	专项应付款	
投资性房地产	89,579,767.38	预计负债	
固定资产	199,241,748.18	递延所得税负债	48,341,371.06
在建工程	9,275,682.42	其他非流动负债	
工程物资		非流动负债合计	2,671,498,918.44
固定资产清理		负债合计	8,606,786,959.35
生产性生物资产		实收资本(或股本)	389,452,440.00
油气资产		资本公积	95,756,654.03
无形资产	62,530,994.12	盈余公积	20,278,061.27
开发支出		减:库存股	
商誉		未分配利润	604,300,774.10
长期待摊费用	19,100,892.18	少数股东权益	153,171,120.13
递延所得税资产	120,354,291.21	外币报表折算价差	
其他非流动资产	103,561,408.00	非正常经营项目收益调整	
非流动资产合计	891,668,901.37	所有者权益(或股东权益)合计	1,382,357,711.18
资产总计	9,989,144,670.53	负债和所有者(或股东权益)合计	9,989,144,670.53
科目	2015年度	科目	2015年度
一、营业收入	2,409,000,299.26	二、营业利润	144,248,101.02
减:营业成本	1,650,912,997.46	加:补贴收入	
营业税金及附加	132,951,992.24	营业外收入	9,463,183.40
销售费用	41,455,437.92	减:营业外支出	3,006,344.83
管理费用	120,313,787.76	其中:非流动资产处置净损失	75,823.66
堪探费用		加:影响利润总额的其他科目	
财务费用	358,047,548.59	三、利润总额	150,704,939.59
资产减值损失	16,859,513.66	减:所得税	21,566,829.75
加:公允价值变动净收益		加:影响净利润的其他科目	
投资收益	55,789,079.39	四、净利润	129,138,109.84
其中:对联营企业和合营企业的投资权益	1,964,545.43	归属于母公司所有者的净利润	127,633,376.61
影响营业利润的其他科目		少数股东损益	1,504,733.23

