科目	2015-12-31	科目	2015-12-31
货币资金	18,369,880,691.10	短期借款	16,805,996,379.53
交易性金融资产		交易性金融负债	
应收票据	2,197,924,429.70	应付票据	436,477,804.74
应收账款	6,882,068,508.58	应付账款	8,625,713,523.10
预付款项	3,615,007,054.08	预收款项	19,034,031,504.51
其他应收款	1,998,699,709.21	应付职工薪酬	118,602,647.04
应收关联公司款		应交税费	1,464,513,273.35
应收利息	6,716,763.51	应付利息	429,133,043.75
应收股利	3,922,700.00	应付股利	55,274,219.13
存货	54,007,187,185.94	其他应付款	3,078,563,379.11
其中:消耗性生物资产		应付关联公司款	
一年内到期的非流动资产		一年内到期的非流动负债	3,907,504,794.13
其他流动资产	2,254,225,698.11	其他流动负债	11,230,763,450.32
流动资产合计	89,335,632,740.23	流动负债合计	65,186,574,018.71
可供出售金融资产	604,367,250.00	长期借款	6,888,600,000.00
持有至到期投资		应付债券	12,000,000,000.00
长期应收款		长期应付款	19,054,327.53
长期股权投资	305,693,498.67	专项应付款	
投资性房地产	14,444,803,327.98	预计负债	136,446,352.28
固定资产	18,141,169,689.04	递延所得税负债	2,645,986,691.73
在建工程	1,249,188,812.32	其他非流动负债	601,559,996.42
工程物资	7,281,479.06	非流动负债合计	23,378,255,898.65
固定资产清理		负债合计	88,564,829,917.36
生产性生物资产		实收资本(或股本)	5,338,885,567.00
油气资产		资本公积	11,579,704,575.56
无形资产	4,087,252,597.86	盈余公积	1,053,285,969.67
开发支出		减:库存股	
商誉	258,366,898.28	未分配利润	18,846,160,038.86
长期待摊费用	404,769,379.15	少数股东权益	4,098,901,220.25
递延所得税资产	1,423,631,430.99	外币报表折算价差	
其他非流动资产	484,547,210.58	非正常经营项目收益调整	
非流动资产合计	41,411,071,573.93	所有者权益(或股东权益)合计	42,181,874,396.80
资产总计	130,746,704,314.16	负债和所有者(或股东权益)合计	130,746,704,314.16
科目	2015年度	科目	2015年度
一、营业收入	40,925,340,861.40	二、营业利润	2,501,993,038.05
减:营业成本	30,526,041,342.13	加:补贴收入	
营业税金及附加	2,178,441,374.93	营业外收入	742,138,704.67
销售费用	1,546,158,440.90	减:营业外支出	61,477,248.64
管理费用	2,973,810,596.33	其中:非流动资产处置净损失	37,467,850.47
堪探费用		加:影响利润总额的其他科目	
财务费用	1,335,546,194.47	三、利润总额	3,182,654,494.08
资产减值损失	447,911,026.68	减:所得税	1,231,586,696.28
加:公允价值变动净收益	602,186,288.95	加:影响净利润的其他科目	
投资收益	-17,625,136.86	四、净利润	1,951,067,797.80
其中:对联营企业和合营企业的投资权益	-17,693,887.39	归属于母公司所有者的净利润	2,017,453,761.39
影响营业利润的其他科目		少数股东损益	-66,385,963.59

