科目	2015-12-31	科目	2015-12-31
货币资金	540,911,000.00	短期借款	417,400,000.00
交易性金融资产		交易性金融负债	
应收票据		应付票据	
应收账款	49,933,000.00	应付账款	520,262,000.00
预付款项	107,480,000.00	预收款项	97,603,000.00
其他应收款	76,663,000.00	应付职工薪酬	10,158,000.00
应收关联公司款		应交税费	164,788,000.00
应收利息		应付利息	26,662,000.00
应收股利		应付股利	7,442,000.00
存货	3,046,544,000.00	其他应付款	314,061,000.00
其中:消耗性生物资产		应付关联公司款	
一年内到期的非流动资产		一年内到期的非流动负债	857,679,000.00
其他流动资产		其他流动负债	
流动资产合计	3,821,531,000.00	流动负债合计	2,416,055,000.00
可供出售金融资产	110,707,000.00	长期借款	2,803,886,000.00
持有至到期投资		应付债券	
长期应收款	35,130,000.00	长期应付款	423,737,000.00
长期股权投资	1,026,653,000.00	专项应付款	
投资性房地产	4,984,180,000.00	预计负债	7,840,000.00
固定资产	30,285,000.00	递延所得税负债	469,831,000.00
在建工程		其他非流动负债	
工程物资		非流动负债合计	3,705,294,000.00
固定资产清理		负债合计	6,121,349,000.00
生产性生物资产		实收资本(或股本)	749,913,000.00
油气资产		资本公积	511,152,000.00
无形资产	50,857,000.00	盈余公积	98,941,000.00
开发支出		减:库存股	
商誉		未分配利润	1,769,179,000.00
长期待摊费用	166,926,000.00	少数股东权益	816,344,000.00
递延所得税资产	26,055,000.00	外币报表折算价差	
其他非流动资产		非正常经营项目收益调整	
非流动资产合计	6,430,793,000.00	所有者权益(或股东权益)合计	4,130,975,000.00
资产总计	10,252,324,000.00	负债和所有者(或股东权益)合计	10,252,324,000.00
科目	2015年度	科目	2015年度
一、营业收入	647,600,000.00	二、营业利润	214,067,000.00
减:营业成本	244,336,000.00	加:补贴收入	
营业税金及附加	-50,635,000.00	营业外收入	6,790,000.00
销售费用	75,108,000.00	减:营业外支出	3,139,000.00
管理费用	156,772,000.00	其中:非流动资产处置净损失	46,000.00
堪探费用		加:影响利润总额的其他科目	
财务费用	301,099,000.00	三、利润总额	217,718,000.00
资产减值损失	4,822,000.00	减:所得税	149,387,000.00
加:公允价值变动净收益	-92,142,000.00	加:影响净利润的其他科目	
投资收益	390,111,000.00	四、净利润	68,331,000.00
其中:对联营企业和合营企业的投资权益	-5,248,000.00	归属于母公司所有者的净利润	20,180,000.00
影响营业利润的其他科目		少数股东损益	48,151,000.00

