科目	2015-12-31	科目	2015-12-31
货币资金	739,571,994.96	短期借款	1,285,000,000.00
交易性金融资产		交易性金融负债	
应收票据		应付票据	
应收账款	82,636,786.19	应付账款	391,953,659.04
预付款项	28,248,075.63	预收款项	1,653,287,343.24
其他应收款	199,133,726.80	应付职工薪酬	37,289,667.99
应收关联公司款		应交税费	72,461,722.91
应收利息		应付利息	5,789,500.00
应收股利		应付股利	10,582,913.96
存货	4,806,357,541.22	其他应付款	83,132,616.44
其中:消耗性生物资产		应付关联公司款	
一年内到期的非流动资产		一年内到期的非流动负债	87,000,000.00
其他流动资产	44,919,907.73	其他流动负债	
流动资产合计	5,900,868,032.53	流动负债合计	3,626,497,423.58
可供出售金融资产	140,197,424.98	长期借款	1,092,000,000.00
持有至到期投资		应付债券	
长期应收款		长期应付款	126,492.33
长期股权投资	200,397,083.12	专项应付款	
投资性房地产		预计负债	
固定资产	8,341,400.91	递延所得税负债	7,281,961.91
在建工程		其他非流动负债	
工程物资		非流动负债合计	1,099,408,454.24
固定资产清理		负债合计	4,725,905,877.82
生产性生物资产		实收资本(或股本)	1,617,272,234.00
油气资产		资本公积	309,636,760.20
无形资产	215,929.60	盈余公积	64,940,033.27
开发支出		减:库存股	
商誉		未分配利润	-739,955,906.39
长期待摊费用	744,133.52	少数股东权益	313,137,567.37
递延所得税资产	40,172,561.61	外币报表折算价差	
其他非流动资产		非正常经营项目收益调整	
非流动资产合计	390,068,533.74	所有者权益(或股东权益)合计	1,565,030,688.45
资产总计	6,290,936,566.27	负债和所有者(或股东权益)合计	6,290,936,566.27
科目	2015年度	科目	2015年度
一、营业收入	740,471,240.20	二、营业利润	-89,043,681.40
减:营业成本	476,128,048.41	加:补贴收入	
营业税金及附加	80,155,844.60	营业外收入	1,432,716.18
销售费用	79,859,719.28	减:营业外支出	62,492,311.90
管理费用	81,545,495.79	其中:非流动资产处置净损失	18,650.63
堪探费用		加:影响利润总额的其他科目	
财务费用	93,726,108.11	三、利润总额	-150,103,277.12
资产减值损失	27,685,387.27	减:所得税	36,525,005.39
加:公允价值变动净收益		加:影响净利润的其他科目	
投资收益	9,585,681.86	四、净利润	-186,628,282.51
其中:对联营企业和合营企业的投资权益	-11,545,059.39	归属于母公司所有者的净利润	-187,078,904.95
影响营业利润的其他科目		少数股东损益	450,622.44

