科目	2015-12-31	科目	2015-12-31
货币资金	36,801,674,322.00	短期借款	7,008,404,590.00
交易性金融资产		交易性金融负债	
应收票据	1,892,000.00	应付票据	1,820,633,855.40
应收账款	7,177,477,339.32	应付账款	16,026,913,746.76
预付款项	2,539,358,403.21	预收款项	67,254,508,831.97
其他应收款	2,012,781,379.69	应付职工薪酬	514,983,223.08
应收关联公司款		应交税费	1,989,729,268.63
应收利息		应付利息	131,001,287.50
应收股利		应付股利	
存货	100,621,198,218.46	其他应付款	6,408,045,550.75
其中:消耗性生物资产		应付关联公司款	
一年内到期的非流动资产	702,390,031.15	一年内到期的非流动负债	12,226,655,423.76
其他流动资产	3,908,346,032.36	其他流动负债	458,521,643.09
流动资产合计	153,765,117,726.19	流动负债合计	113,839,397,420.94
可供出售金融资产	528,044,430.63	长期借款	20,594,585,785.97
持有至到期投资		应付债券	7,937,460,643.66
长期应收款		长期应付款	551,072,119.19
长期股权投资	130,962,467.51	专项应付款	58,693,056.55
投资性房地产	807,399,703.02	预计负债	
固定资产	2,379,025,023.55	递延所得税负债	9,031,096.66
在建工程	2,218,784,673.64	其他非流动负债	732,820.92
工程物资		非流动负债合计	29,153,954,575.47
固定资产清理		负债合计	142,993,351,996.41
生产性生物资产		实收资本(或股本)	2,645,759,430.00
油气资产		资本公积	459,143,130.92
无形资产	4,512,077,016.08	盈余公积	972,957,775.55
开发支出		减:库存股	
商誉	39,976,659.09	未分配利润	9,414,632,874.04
长期待摊费用	74,030,839.53	少数股东权益	12,103,214,870.80
递延所得税资产	583,933,574.45	外币报表折算价差	
其他非流动资产	3,584,000,000.00	非正常经营项目收益调整	
非流动资产合计	14,858,234,387.50	所有者权益(或股东权益)合计	25,630,000,117.28
资产总计	168,623,352,113.69	负债和所有者(或股东权益)合计	168,623,352,113.69
科目	2015年度	科目	2015年度
一、营业收入	38,334,689,695.10	二、营业利润	6,903,043,149.92
减:营业成本	25,103,363,026.02	加:补贴收入	
营业税金及附加	2,709,024,575.04	营业外收入	84,520,674.53
销售费用	1,236,443,921.07	减:营业外支出	39,002,837.57
管理费用	2,551,615,794.01	其中:非流动资产处置净损失	30,151.07
堪探费用		加:影响利润总额的其他科目	
财务费用	1,305,686.36	三、利润总额	6,948,560,986.88
资产减值损失	133,682,181.66	减:所得税	1,961,469,680.66
加:公允价值变动净收益		加:影响净利润的其他科目	
投资收益	303,788,638.98	四、净利润	4,987,091,306.22
其中:对联营企业和合营企业的投资权益	-2,414,224.49	归属于母公司所有者的净利润	4,800,773,031.39
影响营业利润的其他科目		少数股东损益	186,318,274.83

