科目	2015-12-31	科目	2015-12-31
货币资金	2,425,710,868.57	短期借款	
交易性金融资产		交易性金融负债	
应收票据		应付票据	
应收账款	4,578,071.20	应付账款	489,367,669.05
预付款项	30,520,861.32	预收款项	714,383,638.78
其他应收款	34,154,700.02	应付职工薪酬	12,876,493.90
应收关联公司款		应交税费	-29,779,131.21
应收利息		应付利息	16,136,030.25
应收股利		应付股利	
存货	2,670,692,878.24	其他应付款	54,705,525.84
其中:消耗性生物资产		应付关联公司款	
一年内到期的非流动资产		一年内到期的非流动负债	2,376,920.00
其他流动资产	500,000,000.00	其他流动负债	142,155,480.88
流动资产合计	5,665,657,379.35	流动负债合计	1,402,222,627.49
可供出售金融资产		长期借款	
持有至到期投资		应付债券	797,202,731.85
长期应收款		长期应付款	
长期股权投资		专项应付款	
投资性房地产	704,651,189.31	预计负债	
固定资产	113,928,829.25	递延所得税负债	4,904,639.21
在建工程	6,596,974.86	其他非流动负债	
工程物资		非流动负债合计	805,814,251.16
固定资产清理		负债合计	2,208,036,878.65
生产性生物资产		实收资本(或股本)	1,008,937,178.00
油气资产		资本公积	1,894,023,579.36
无形资产	7,460,946.39	盈余公积	115,210,024.00
开发支出		减:库存股	
商誉	39,407,378.24	未分配利润	1,389,554,487.03
长期待摊费用	72,936.00	少数股东权益	
递延所得税资产	77,986,513.64	外币报表折算价差	
其他非流动资产		非正常经营项目收益调整	
非流动资产合计	950,104,767.69	所有者权益(或股东权益)合计	4,407,725,268.39
资产总计	6,615,762,147.04	负债和所有者(或股东权益)合计	6,615,762,147.04
科目	2015年度	科目	2015年度
一、营业收入	1,306,307,370.41	二、营业利润	243,856,430.32
减:营业成本	894,481,769.04	加:补贴收入	
营业税金及附加	121,435,890.96	营业外收入	960,413.70
销售费用	27,077,159.73	减:营业外支出	94,417.63
管理费用	51,824,021.05	其中:非流动资产处置净损失	
堪探费用		加:影响利润总额的其他科目	
财务费用	-32,851,643.47	三、利润总额	244,722,426.39
资产减值损失	818,263.33	减:所得税	57,846,026.38
加:公允价值变动净收益		加:影响净利润的其他科目	
投资收益	334,520.55	四、净利润	186,876,400.01
其中:对联营企业和合营企业的投资权益		归属于母公司所有者的净利润	186,876,400.01
影响营业利润的其他科目		少数股东损益

