科目	2015-12-31	科目	2015-12-31
货币资金	15,129,234,636.35	短期借款	4,338,403,808.87
交易性金融资产		交易性金融负债	
应收票据	78,672,483.36	应付票据	152,774,488.13
应收账款	485,007,345.28	应付账款	8,618,477,828.30
预付款项	13,256,957,901.11	预收款项	6,191,178,569.09
其他应收款	1,783,489,668.91	应付职工薪酬	775,486,857.72
应收关联公司款		应交税费	2,218,720,555.34
应收利息	1,202,107.92	应付利息	52,747,748.65
应收股利		应付股利	38,305,529.48
存货	51,191,758,126.86	其他应付款	19,562,395,303.05
其中:消耗性生物资产		应付关联公司款	
一年内到期的非流动资产		一年内到期的非流动负债	1,574,702,450.16
其他流动资产		其他流动负债	
流动资产合计	81,926,322,269.79	流动负债合计	43,523,193,138.79
可供出售金融资产	1,396,326,755.92	长期借款	28,111,406,218.89
持有至到期投资		应付债券	1,000,059,806.47
长期应收款		长期应付款	411,527,485.04
长期股权投资	843,435,827.94	专项应付款	8,172,955.43
投资性房地产	3,346,330,484.01	预计负债	
固定资产	15,014,593,229.47	递延所得税负债	29,513,140.09
在建工程	1,833,010,070.43	其他非流动负债	
工程物资		非流动负债合计	29,566,895,723.69
固定资产清理		负债合计	73,090,088,862.48
生产性生物资产		实收资本(或股本)	8,205,681,415.00
油气资产		资本公积	5,823,343,126.05
无形资产	4,490,965,646.80	盈余公积	2,543,815,093.59
开发支出		减:库存股	
商誉	237,560,043.69	未分配利润	21,785,012,684.25
长期待摊费用	551,169,028.56	少数股东权益	4,090,247,052.27
递延所得税资产	3,836,137,332.26	外币报表折算价差	
其他非流动资产	1,790,323,682.61	非正常经营项目收益调整	
非流动资产合计	33,339,852,101.69	所有者权益(或股东权益)合计	42,176,085,509.00
资产总计	115,266,174,371.48	负债和所有者(或股东权益)合计	115,266,174,371.48
科目	2015年度	科目	2015年度
一、营业收入	32,236,329,531.21	二、营业利润	6,888,321,359.00
减:营业成本	15,090,209,272.96	加:补贴收入	
营业税金及附加	6,375,139,629.04	营业外收入	481,921,735.75
销售费用	1,212,288,596.80	减:营业外支出	38,727,039.05
管理费用	2,163,927,618.53	其中:非流动资产处置净损失	5,581,925.61
堪探费用		加:影响利润总额的其他科目	
财务费用	795,239,068.70	三、利润总额	7,331,516,055.70
资产减值损失	70,777,821.88	减:所得税	2,088,189,131.48
加:公允价值变动净收益		加:影响净利润的其他科目	
投资收益	359,573,835.70	四、净利润	5,243,326,924.22
其中:对联营企业和合营企业的投资权益	359,580,920.85	归属于母公司所有者的净利润	4,640,665,057.21
影响营业利润的其他科目		少数股东损益	602,661,867.01

