科目	2015-12-31	科目	2015-12-31
货币资金	830,545,968.73	短期借款	10,000,000.00
交易性金融资产		交易性金融负债	
应收票据		应付票据	
应收账款	4,276,247.16	应付账款	384,315,898.65
预付款项	13,781,231.28	预收款项	1,309,097,241.86
其他应收款	97,834,254.93	应付职工薪酬	12,671,832.84
应收关联公司款		应交税费	38,757,534.48
应收利息		应付利息	3,888,092.27
应收股利		应付股利	
存货	3,820,561,985.26	其他应付款	296,252,881.33
其中:消耗性生物资产		应付关联公司款	
一年内到期的非流动资产		一年内到期的非流动负债	586,340,000.00
其他流动资产	150,000,000.00	其他流动负债	
流动资产合计	4,916,999,687.36	流动负债合计	2,641,323,481.43
可供出售金融资产		长期借款	954,380,000.00
持有至到期投资		应付债券	
长期应收款		长期应付款	
长期股权投资		专项应付款	
投资性房地产		预计负债	
固定资产	67,596,852.41	递延所得税负债	40,439,580.41
在建工程		其他非流动负债	
工程物资		非流动负债合计	994,819,580.41
固定资产清理		负债合计	3,636,143,061.84
生产性生物资产		实收资本(或股本)	314,417,763.00
油气资产		资本公积	1,027,883,427.67
无形资产	131,204,075.61	盈余公积	9,723,736.60
开发支出		减:库存股	
商誉	6,028,545.49	未分配利润	184,909,523.32
长期待摊费用	1,145,242.40	少数股东权益	47,030,534.05
递延所得税资产	97,133,773.76	外币报表折算价差	
其他非流动资产		非正常经营项目收益调整	
非流动资产合计	303,108,489.67	所有者权益(或股东权益)合计	1,583,965,115.19
资产总计	5,220,108,177.03	负债和所有者(或股东权益)合计	5,220,108,177.03
科目	2015年度	科目	2015年度
一、营业收入	667,877,093.30	二、营业利润	44,488,783.60
减:营业成本	435,264,047.05	加:补贴收入	
营业税金及附加	79,899,862.21	营业外收入	16,708,362.71
销售费用	57,169,529.31	减:营业外支出	39,880.99
管理费用	47,012,078.94	其中:非流动资产处置净损失	
堪探费用		加:影响利润总额的其他科目	
财务费用	4,083,604.12	三、利润总额	61,157,265.32
资产减值损失	217,280.21	减:所得税	-16,357,983.50
加:公允价值变动净收益		加:影响净利润的其他科目	
投资收益	258,092.14	四、净利润	77,515,248.82
其中:对联营企业和合营企业的投资权益		归属于母公司所有者的净利润	83,877,292.52
影响营业利润的其他科目		少数股东损益	-6,362,043.70

