科目	2015-12-31	科目	2015-12-31
货币资金	2,029,304,808.74	短期借款	929,425,000.00
交易性金融资产		交易性金融负债	
应收票据	22,395,000.00	应付票据	178,070,000.00
应收账款	163,768,073.96	应付账款	4,331,569,853.65
预付款项	2,624,789,994.41	预收款项	7,392,514,171.91
其他应收款	424,296,134.35	应付职工薪酬	20,533,824.19
应收关联公司款		应交税费	292,101,336.85
应收利息		应付利息	
应收股利		应付股利	100,000,000.00
存货	27,842,083,365.74	其他应付款	12,784,353,416.93
其中:消耗性生物资产		应付关联公司款	
一年内到期的非流动资产		一年内到期的非流动负债	1,818,850,000.00
其他流动资产	868,712,129.17	其他流动负债	
流动资产合计	33,975,349,506.37	流动负债合计	27,847,417,603.53
可供出售金融资产		长期借款	4,451,466,000.00
持有至到期投资	5,337,401.76	应付债券	
长期应收款		长期应付款	50,000,000.00
长期股权投资	142,976,967.04	专项应付款	
投资性房地产		预计负债	
固定资产	452,738,525.35	递延所得税负债	1,241,413.18
在建工程	343,600.00	其他非流动负债	
工程物资		非流动负债合计	4,502,707,413.18
固定资产清理		负债合计	32,350,125,016.71
生产性生物资产		实收资本(或股本)	1,000,968,000.00
油气资产		资本公积	299,221,914.06
无形资产	63,983,688.22	盈余公积	100,652,148.87
开发支出		减:库存股	
商誉		未分配利润	735,347,964.35
长期待摊费用	5,713,087.75	少数股东权益	274,588,773.62
递延所得税资产	114,461,041.12	外币报表折算价差	
其他非流动资产		非正常经营项目收益调整	
非流动资产合计	785,554,311.24	所有者权益(或股东权益)合计	2,410,778,800.90
资产总计	34,760,903,817.61	负债和所有者(或股东权益)合计	34,760,903,817.61
科目	2015年度	科目	2015年度
一、营业收入	5,864,434,715.18	二、营业利润	273,749,509.48
减:营业成本	4,695,420,337.43	加:补贴收入	
营业税金及附加	541,379,912.14	营业外收入	8,488,339.86
销售费用	190,971,636.86	减:营业外支出	27,309,894.82
管理费用	152,997,770.26	其中:非流动资产处置净损失	36,886.95
堪探费用		加:影响利润总额的其他科目	
财务费用	70,406,614.18	三、利润总额	254,927,954.52
资产减值损失	6,382,656.34	减:所得税	113,944,578.21
加:公允价值变动净收益		加:影响净利润的其他科目	
投资收益	66,873,721.51	四、净利润	140,983,376.31
其中:对联营企业和合营企业的投资权益	66,830,569.75	归属于母公司所有者的净利润	112,491,753.95
影响营业利润的其他科目		少数股东损益	28,491,622.36

