科目	2015-12-31	科目	2015-12-31
货币资金	2,325,577,589.40	短期借款	
交易性金融资产		交易性金融负债	
应收票据	200,000.00	应付票据	
应收账款	45,546,794.66	应付账款	199,996,008.75
预付款项	244,382,373.76	预收款项	17,686,851.53
其他应收款	5,523,816.24	应付职工薪酬	6,481,219.43
应收关联公司款		应交税费	1,314,593,968.77
应收利息	5,432,880.83	应付利息	
应收股利		应付股利	
存货	1,412,626,052.43	其他应付款	53,507,626.41
其中:消耗性生物资产		应付关联公司款	
一年内到期的非流动资产		一年内到期的非流动负债	3,000,000.00
其他流动资产	56,572,751.21	其他流动负债	95,507,764.48
流动资产合计	4,095,862,258.53	流动负债合计	1,690,773,439.37
可供出售金融资产	100,014,748.19	长期借款	
持有至到期投资		应付债券	
长期应收款		长期应付款	
长期股权投资	35,588,778.40	专项应付款	13,158,200.62
投资性房地产	541,884,708.94	预计负债	
固定资产	128,425,875.62	递延所得税负债	21,532,918.40
在建工程		其他非流动负债	
工程物资		非流动负债合计	37,649,452.35
固定资产清理		负债合计	1,728,422,891.72
生产性生物资产		实收资本(或股本)	580,097,402.00
油气资产		资本公积	680,178,487.41
无形资产	31,605,064.36	盈余公积	161,604,319.78
开发支出		减:库存股	
商誉		未分配利润	1,905,164,849.55
长期待摊费用	11,843,559.58	少数股东权益	97,311,013.14
递延所得税资产	272,152,725.19	外币报表折算价差	
其他非流动资产		非正常经营项目收益调整	
非流动资产合计	1,121,515,460.28	所有者权益(或股东权益)合计	3,488,954,827.09
资产总计	5,217,377,718.81	负债和所有者(或股东权益)合计	5,217,377,718.81
科目	2015年度	科目	2015年度
一、营业收入	1,740,500,133.49	二、营业利润	691,357,083.30
减:营业成本	486,813,978.09	加:补贴收入	
营业税金及附加	495,986,791.68	营业外收入	3,441,756.92
销售费用	17,919,198.72	减:营业外支出	5,300.27
管理费用	76,594,018.98	其中:非流动资产处置净损失	4,027.06
堪探费用		加:影响利润总额的其他科目	
财务费用	-30,580,290.93	三、利润总额	694,793,539.95
资产减值损失	5,511,824.82	减:所得税	181,372,594.51
加:公允价值变动净收益		加:影响净利润的其他科目	
投资收益	3,102,471.17	四、净利润	513,420,945.44
其中:对联营企业和合营企业的投资权益	2,381,230.45	归属于母公司所有者的净利润	519,516,720.03
影响营业利润的其他科目		少数股东损益	-6,095,774.59

